대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),추천_대분류,추천_유사도
가설건축,대구광역시 수성구 두산동 669-1,대구광역시,14230,20197,16,0.03,공동주택,0.607442504340467
가설건축,대구광역시 달서구 월암동 1-163,대구광역시,15996,31748,0,0.05,자동차관련시설,0.9289827707480571
가설건축,대구광역시 달성군 논공읍 위천리 191-11,대구광역시,20525,19610,14,0.03,가설건축,0.3808373400286792
가설건축,대구광역시 달성군 현풍읍 하리 240-4,대구광역시,24030,20557,10,0.02,가설건축,0.4165472272220289
가설건축,대구광역시 달서구 호산동 706-9,대구광역시,40157,31748,41,0.03,가설건축,0.5136888239530514
가설건축,대구광역시 달성군 화원읍 성산리 26-1,대구광역시,46320,31748,2,0.02,가설건축,0.6899242528845669
가설건축,대구광역시 달성군 화원읍 성산리 25-3,대구광역시,46320,31748,2,0.02,가설건축,0.6899242528845669
가설건축,대전광역시 대덕구 문평동 43-8,대전광역시,6520,19795,0,0.04,공동주택,0.7187446288858075
가설건축,대전광역시 서구 월평동 67,대전광역시,11657,14337,7,0.04,공동주택,0.8681310461394611
가설건축,대전광역시 대덕구 법동 402-11,대전광역시,12262,19795,0,0.01,공동주택,0.942513508892902
가설건축,대전광역시 대덕구 상서동 326-128,대전광역시,13275,19795,5,0.03,공동주택,0.9543334024224632
가설건축,대전광역시 중구 선화동 159-4,대전광역시,13975,14337,41,0.06,숙박시설,0.9589011602728994
가설건축,대전광역시 중구 선화동 79-1,대전광역시,13975,14337,41,0.06,숙박시설,0.9589011602728994
가설건축,대전광역시 동구 하소동 52,대전광역시,19742,20520,5,0.02,판매시설,0.9154986386385184
가설건축,대전광역시 유성구 구암동 202-2,대전광역시,27075,16850,89,0.04,숙박시설,0.5349077052141608
가설건축,대전광역시 유성구 탑립동 346,대전광역시,33635,19795,3,0.03,판매시설,0.8356357216061685
가설건축,대전광역시 유성구 탑립동 393-5,대전광역시,33635,19795,3,0.03,판매시설,0.8356357216061685
가설건축,부산광역시 강서구 봉림동 641-6,부산광역시,2037,30599,0,0.1,가설건축,0.9546288873204591
가설건축,부산광역시 강서구 죽림동 178,부산광역시,2037,30599,0,0.1,가설건축,0.9546288873204591
