행정구역,순위,인구 천명당 사업체수(개),비율(%)
제주특별자치도 서귀포시 정방동,127,337.69,0.07
경기도 포천시 내촌면,128,336.15,0.07
서울특별시 금천구 시흥3동,129,336.12,0.07
경상북도 김천시 농소면,130,331.4,0.07
전북특별자치도 익산시 인화동,131,329.97,0.07
충청남도 서산시 동문2동,132,329.34,0.07
강원특별자치도 삼척시 신기면,133,326.8,0.07
경상남도 진주시 중앙동,134,326.3,0.07
경기도 김포시 하성면,135,323.4,0.07
광주광역시 북구 중앙동,136,317.98,0.07
경기도 과천시 과천동,137,317.65,0.07
광주광역시 북구 중흥1동,138,316.61,0.06
대구광역시 중구 삼덕동,139,313.76,0.06
전북특별자치도 부안군 행안면,140,312.71,0.06
경상북도 영주시 영주1동,141,308.02,0.06
전북특별자치도 전주시 덕진구 팔복동,142,307.45,0.06
인천광역시 서구 가좌1동,143,305.39,0.06
부산광역시 영도구 남항동,144,303.94,0.06
서울특별시 강남구 대치4동,145,303.84,0.06
부산광역시 동구 초량1동,146,299.47,0.06
경상남도 창원시 마산합포구 오동동,147,299.19,0.06
인천광역시 중구 용유동,148,298.66,0.06
전북특별자치도 부안군 줄포면,149,298.61,0.06
경기도 화성시 마도면,150,297.45,0.06
충청남도 천안시 동남구 성남면,151,297.2,0.06
충청남도 아산시 온양1동,152,296.8,0.06
경상남도 밀양시 내일동,153,293.9,0.06
경기도 안양시 동안구 호계1동,154,293.67,0.06
전라남도 함평군 해보면,155,293.21,0.06
부산광역시 중구 동광동,156,293.11,0.06
전라남도 나주시 이창동,157,293.03,0.06
충청남도 금산군 복수면,158,290.19,0.06
강원특별자치도 원주시 호저면,159,289.3,0.06
경기도 수원시 팔달구 행궁동,160,288.99,0.06
서울특별시 용산구 한강로동,161,288.66,0.06
경상남도 사천시 축동면,162,288.46,0.06
전북특별자치도 군산시 월명동,163,288.42,0.06
경상남도 양산시 중앙동,164,287.78,0.06
경상북도 칠곡군 동명면,165,287.42,0.06
경상북도 성주군 선남면,166,287.05,0.06
서울특별시 강서구 가양1동,167,285.06,0.06
경기도 파주시 탄현면,168,285,0.06
전북특별자치도 익산시 용동면,169,284.95,0.06
경상북도 경주시 황오동,170,283.48,0.06
부산광역시 금정구 금사회동동,171,283.25,0.06
경기도 파주시 월롱면,172,282.97,0.06
충청북도 청주시 청원구 북이면,173,282.62,0.06
부산광역시 부산진구 범천1동,174,281.03,0.06
울산광역시 중구 중앙동,175,280.55,0.06
전북특별자치도 정읍시 시기동,176,280.23,0.06
전북특별자치도 익산시 망성면,177,280.19,0.06
서울특별시 용산구 남영동,178,278.32,0.06
전북특별자치도 군산시 서수면,179,277.02,0.06
서울특별시 강남구 청담동,180,276.64,0.06
대전광역시 중구 은행선화동,181,275.42,0.06
서울특별시 영등포구 당산1동,182,275.41,0.06
대구광역시 서구 상중이동,183,275.2,0.06
경상북도 영천시 남부동,184,274.19,0.06
경상북도 경주시 황남동,185,273.08,0.06
충청북도 청주시 상당구 중앙동,186,272.28,0.06
경상남도 창원시 의창구 팔룡동,187,271.36,0.06
전북특별자치도 김제시 용지면,188,271.18,0.06
경상남도 창원시 마산합포구 진북면,189,270.78,0.06
강원특별자치도 춘천시 남산면,190,270.08,0.06
충청남도 천안시 동남구 풍세면,191,269.64,0.06
대구광역시 달서구 월성2동,192,268.57,0.05
경상남도 함안군 법수면,193,268.33,0.05
전라남도 장성군 동화면,194,267.74,0.05
서울특별시 서초구 서초1동,195,267.67,0.05
경기도 김포시 월곶면,196,266.92,0.05
충청북도 청주시 서원구 남이면,197,266.92,0.05
경기도 화성시 장안면,198,266.62,0.05
경기도 시흥시 신현동,199,265.32,0.05
경기도 광주시 도척면,200,264.76,0.05
경상북도 경주시 천북면,201,264.43,0.05
전라남도 신안군 신의면,202,264.35,0.05
울산광역시 울주군 삼동면,203,264.21,0.05
강원특별자치도 양양군 현남면,204,263.52,0.05
경상북도 경주시 중부동,205,263.44,0.05
강원특별자치도 홍천군 서면,206,263.17,0.05
경기도 평택시 통복동,207,262.96,0.05
경상남도 하동군 화개면,208,262.5,0.05
경상북도 상주시 동성동,209,262.24,0.05
경기도 고양시 일산동구 고봉동,210,262.11,0.05
대전광역시 대덕구 오정동,211,261.87,0.05
제주특별자치도 제주시 우도면,212,261.69,0.05
인천광역시 서구 석남2동,213,261.5,0.05
경기도 화성시 비봉면,214,260.37,0.05
경기도 성남시 중원구 상대원2동,215,260.23,0.05
대전광역시 중구 유천1동,216,260.01,0.05
경상북도 고령군 개진면,217,259.55,0.05
서울특별시 구로구 구로2동,218,258.59,0.05
전북특별자치도 군산시 중앙동,219,256.89,0.05
경기도 성남시 중원구 상대원1동,220,256.64,0.05
경기도 화성시 서신면,221,256.29,0.05
광주광역시 광산구 임곡동,222,255.84,0.05
경기도 양주시 광적면,223,255.42,0.05
강원특별자치도 속초시 금호동,224,255.21,0.05
경기도 안성시 원곡면,225,254.68,0.05
충청남도 보령시 대천5동,226,252.59,0.05
광주광역시 동구 서남동,227,251.34,0.05
전북특별자치도 김제시 황산면,228,251.21,0.05
경상북도 포항시 북구 죽도동,229,251.16,0.05
서울특별시 종로구 가회동,230,250.78,0.05
대구광역시 북구 검단동,231,250.21,0.05
강원특별자치도 동해시 발한동,232,249.32,0.05
대구광역시 중구 남산1동,233,248.77,0.05
대구광역시 중구 동인동,234,247.41,0.05
서울특별시 강남구 압구정동,235,246.98,0.05
충청북도 청주시 서원구 현도면,236,246.86,0.05
전북특별자치도 남원시 보절면,237,246.68,0.05
광주광역시 동구 동명동,238,246.15,0.05
충청북도 제천시 한수면,239,246.13,0.05
부산광역시 기장군 장안읍,240,245.79,0.05
서울특별시 용산구 이태원1동,241,245.75,0.05
전북특별자치도 정읍시 북면,242,245.75,0.05
인천광역시 중구 동인천동,243,245.47,0.05
전라남도 목포시 목원동,244,245.11,0.05
울산광역시 동구 일산동,245,244.88,0.05
충청북도 제천시 청풍면,246,243.86,0.05
경기도 안산시 단원구 초지동,247,243.84,0.05
전북특별자치도 정읍시 농소동,248,243.67,0.05
경상남도 함안군 산인면,249,243.32,0.05
경기도 안양시 만안구 안양7동,250,243.04,0.05
경기도 고양시 일산동구 장항1동,251,242.79,0.05
경기도 안양시 만안구 안양4동,252,241.99,0.05
경기도 양주시 양주1동,253,241.48,0.05
부산광역시 동구 초량3동,254,241.34,0.05
강원특별자치도 강릉시 포남1동,255,241.14,0.05
경상남도 통영시 명정동,256,240.93,0.05
전북특별자치도 익산시 낭산면,257,239.32,0.05
충청남도 공주시 반포면,258,239.16,0.05
경기도 가평군 북면,259,238.58,0.05
경상북도 김천시 자산동,260,238.2,0.05
경기도 포천시 군내면,261,238.12,0.05
강원특별자치도 고성군 죽왕면,262,238.1,0.05
경기도 파주시 광탄면,263,237.7,0.05
부산광역시 강서구 녹산동,264,237.18,0.05
충청남도 공주시 웅진동,265,236.58,0.05
서울특별시 마포구 합정동,266,236.23,0.05
경기도 부천시 원미구 춘의동,267,235.68,0.05
경상남도 함안군 칠북면,268,235.5,0.05
경상남도 함안군 칠서면,269,235.14,0.05
경상북도 문경시 점촌2동,270,234.93,0.05
경상북도 구미시 장천면,271,234.57,0.05
전북특별자치도 익산시 팔봉동,272,234.34,0.05
경기도 동두천시 중앙동,273,233.45,0.05
경기도 평택시 신평동,274,233.2,0.05
경상북도 포항시 북구 중앙동,275,232.49,0.05
세종특별자치시 세종시 나성동,276,232.15,0.05
경상남도 김해시 부원동,277,232.1,0.05
서울특별시 서초구 반포4동,278,231.88,0.05
전라남도 나주시 왕곡면,279,231.79,0.05
경기도 안산시 단원구 중앙동,280,231.28,0.05
전라남도 여수시 대교동,281,231.07,0.05
경상북도 경산시 중앙동,282,230.57,0.05
광주광역시 광산구 송정2동,283,229.45,0.05
강원특별자치도 양양군 강현면,284,229.36,0.05
경기도 성남시 분당구 야탑1동,285,229.2,0.05
부산광역시 사상구 괘법동,286,229.04,0.05
전북특별자치도 부안군 진서면,287,228.79,0.05
울산광역시 남구 야음장생포동,288,228.66,0.05
경상북도 경산시 와촌면,289,228.1,0.05
경기도 화성시 동탄5동,290,227.25,0.05
충청북도 충주시 칠금·금릉동,291,226.92,0.05
강원특별자치도 원주시 판부면,292,226.89,0.05
제주특별자치도 서귀포시 천지동,293,226.7,0.05
서울특별시 영등포구 문래동,294,226.32,0.05
울산광역시 남구 삼산동,295,226.28,0.05
경기도 안성시 양성면,296,226.18,0.05
경기도 김포시 양촌읍,297,226.09,0.05
전북특별자치도 정읍시 신태인읍,298,225.95,0.05
제주특별자치도 제주시 이도1동,299,225.89,0.05
전북특별자치도 익산시 춘포면,300,225.8,0.05
경기도 수원시 팔달구 매산동,301,224,0.05
충청북도 단양군 매포읍,302,223.65,0.05
전북특별자치도 김제시 공덕면,303,222.55,0.05
경기도 안산시 단원구 대부동,304,222.25,0.05
전북특별자치도 남원시 인월면,305,222.05,0.05
광주광역시 서구 농성2동,306,221.95,0.05
전라남도 목포시 신흥동,307,221.28,0.05
충청남도 서천군 서면,308,220.93,0.05
경상북도 안동시 풍산읍,309,220.73,0.05
전북특별자치도 김제시 요촌동,310,220.56,0.05
경상남도 진주시 상평동,311,220.28,0.05
경상북도 구미시 신평1동,312,220.13,0.05
서울특별시 종로구 이화동,313,220.01,0.05
경상남도 창원시 마산합포구 산호동,314,219.64,0.04
경상남도 김해시 대동면,315,219.28,0.04
인천광역시 부평구 청천1동,316,219.1,0.04
경기도 광주시 남한산성면,317,218.71,0.04
충청북도 보은군 속리산면,318,218.71,0.04
서울특별시 종로구 숭인2동,319,218.57,0.04
경기도 연천군 중면,320,218.54,0.04
충청북도 괴산군 사리면,321,217.95,0.04
충청남도 공주시 중학동,322,217.94,0.04
전북특별자치도 완주군 동상면,323,217.43,0.04
인천광역시 남동구 논현고잔동,324,217.23,0.04
경기도 안산시 단원구 호수동,325,217.04,0.04
충청북도 음성군 삼성면,326,216.98,0.04
대구광역시 군위군 소보면,327,216.92,0.04
전북특별자치도 군산시 해신동,328,216.03,0.04
경상북도 경산시 남천면,329,215.98,0.04
전북특별자치도 부안군 보안면,330,215.78,0.04
대전광역시 중구 문창동,331,215.4,0.04
전북특별자치도 군산시 미성동,332,214.79,0.04
전북특별자치도 진안군 진안읍,333,214.39,0.04
충청남도 논산시 노성면,334,214.01,0.04
충청남도 서천군 서천읍,335,213.96,0.04
강원특별자치도 양양군 손양면,336,213.8,0.04
전라남도 장성군 남면,337,213.68,0.04
강원특별자치도 평창군 봉평면,338,213.55,0.04
인천광역시 서구 오류왕길동,339,213.53,0.04
전북특별자치도 정읍시 장명동,340,213.53,0.04
경상남도 진주시 성북동,341,213.36,0.04
전라남도 강진군 마량면,342,213.31,0.04
경기도 화성시 송산면,343,213.21,0.04
