field5,field6,_CLEANADDR,_PNU,_X,_Y,공시지가,공시일자,특수지구분명,데이터기준일자
입장독정주유소,충청남도 천안시 서북구 망향로1237 (입장면),충청남도 천안시 서북구 망향로 1237 (입장면),4413331038101190009,127.2332590571644,36.91966236077083,211900,2025-04-30,일반,2025-06-18
새봄주유소,충청북도 음성군 충청대로83 (원남면),충청북도 음성군 충청대로 100 (원남면),4377032030110060003,127.61861836247076,36.842521548581615,108900,2025-04-30,일반,2025-06-18
(주)해광에너지 아리랑주유소,경상남도 거제시 거제대로3916 (연초면),경상남도 거제시 거제대로 3916 (연초면),4831037030101560006,128.68310868919912,34.90414799755123,476900,2025-01-24,일반,2025-06-18
얼음골주유소,경상남도 밀양시 산내로1115 (산내면),경상남도 밀양시 산내로 1115 (산내면),4827034028111560001,128.9522127783899,35.58916153268605,447800,2025-04-30,일반,2025-06-18
(주)다원,경기도 동두천시 평화로2708 (동두천동),경기도 동두천시 평화로 2709 (동두천동),4125010700102450102,127.0553498555749,37.92986961749239,382800,2025-04-30,일반,2025-06-18
금련산주유소,부산광역시 수영구 수영로491 (남천동),부산광역시 수영구 수영로 491 (남천동),2650010500100400002,129.11050402516287,35.14978196627428,4835000,2025-04-30,일반,2025-06-18
차세대주유소,울산광역시 중구 구교로170 (반구동),울산광역시 중구 구교로 170 (반구동),3111011800102620032,129.34074141911225,35.559612528840105,2244000,2025-04-30,일반,2025-06-18
견내량주유소,경상남도 거제시 거제남서로5391 (사등면),경상남도 거제시 거제남서로 5391 (사등면),4831036027100180012,128.48203698204097,34.88534670665807,369300,2025-04-30,일반,2025-06-18
경춘주유소,강원도 춘천시 경춘로2039 (칠전동),강원특별자치도 춘천시 경춘로 2039 (칠전동),5111012600102270000,127.71351820326424,37.83653225531232,442200,2025-04-30,일반,2025-06-18
군내리주유소,여수시 돌산읍 돌산로 1286,전라남도 여수시 돌산로 1286 (돌산읍),4613025021111140007,127.7195204668184,34.61943033906578,111100,2025-04-30,일반,2025-06-18
태성주유소,대전광역시 중구 동서대로1459 (중촌동),대전광역시 중구 동서대로 1459 (중촌동),3014010400103900015,127.41685803928482,36.33780257659613,1324000,2025-04-30,일반,2025-06-18
서재제일주유소,대구광역시 달성군 서재로39 (다사읍),대구광역시 달성군 서재로 39 (다사읍),2771025625101840000,128.4937925259445,35.86842165417836,823200,2025-04-30,일반,2025-06-18
(주)바른에너지 공항주유소,광주광역시 광산구 상무대로435-2 (신촌동),광주광역시 광산구 상무대로 435-2 (신촌동),2920010400106820110,126.8135929389258,35.14451588087929,945700,2025-04-30,일반,2025-06-18
현대오일뱅크(주) 기산주유소,충청남도 공주시 차령로867 (계룡면),충청남도 공주시 차령로 867 (계룡면),4415033021104990015,127.14416605406224,36.39411028203352,159000,2025-04-30,일반,2025-06-18
오산주유소,경상북도 청도군 헐티로1240 (각북면),경상북도 청도군 헐티로 1240 (각북면),4782033036107840004,128.56507865900178,35.71530322700766,140200,2025-01-24,일반,2025-06-18
금성주유소,대전광역시 중구 동서대로1183 (태평동),대전광역시 중구 동서대로 1183 (태평동),3014011400104120009,127.39168399730016,36.32700810054142,1829000,2025-04-30,일반,2025-06-18
아이에이제이차유동화전문유한회사,경기도 동두천시 평화로3122 (하봉암동),경기도 동두천시 평화로 3122 (하봉암동),4125011000100700005,127.0666153195957,37.96488582072433,276200,2025-04-30,일반,2025-06-18
삼부주유소,대전광역시 서구 변동로114 (변동),대전광역시 서구 변동로 114 (변동),3017010200100430001,127.38512783194729,36.32331013567081,1528000,2025-04-30,일반,2025-06-18
번암주유소,전북 장수군 번암면 장수로 446,전북특별자치도 장수군 장수로 446 (번암면),5274032028111680003,127.54174174547433,35.52895178887571,90800,2025-04-30,일반,2025-06-18
신광주유소,울산광역시 울주군 연산3길50 (서생면),울산광역시 울주군 연산3길 50 (서생면),3171031022102280004,129.30266426549892,35.343902570826565,378100,2025-04-30,일반,2025-06-18
월촌주유소,경상남도 함안군 월촌1길7 (군북면),경상남도 함안군 월촌1길 7 (군북면),4873032032102460001,128.3131086762533,35.28565042779297,261500,2025-04-30,일반,2025-06-18
SK네트웍스(주) 한양주유소,경기도 안양시 동안구 경수대로669 (호계동),경기도 안양시 동안구 경수대로 657 (호계동),4117310400109330009,126.9532743198392,37.38064018936049,,,,
현대오일뱅크(주)직영 샘주유소,인천광역시 서구 가정로349 (신현동),인천광역시 서구 가정로 349 (신현동),2826010900102840002,126.6725424693682,37.51603434424924,2922000,2025-04-30,일반,2025-06-18
삼영주유소,전라남도 곡성군 입면로99 (옥과면),전라남도 곡성군 입면로 99 (옥과면),4672037026106180001,127.15696584055608,35.28354971205427,64800,2025-04-30,일반,2025-06-18
복돌복주유소,경상남도 밀양시 삼랑6길59 (삼랑진읍),경상남도 밀양시 삼랑6길 59 (삼랑진읍),4827025024100560067,128.82639055212047,35.38562257523708,343800,2025-04-30,일반,2025-06-18
그린주유소,경기도 평택시 삼남로529 (지산동),경기도 평택시 삼남로 529 (지산동),4122011000100740002,127.08965439330927,37.07181170698887,762400,2025-04-30,일반,2025-06-18
동방주유소,경기도 화성시 효행로1350번길8 (반월동),경기도 화성시 효행로1350번길 8 (반월동),4159012000104520001,127.06533745679285,37.22771645777634,3319000,2025-04-30,일반,2025-06-18
매실주유소,충청북도 제천시 송학로406 (송학면),충청북도 제천시 송학로 406 (송학면),4315038024106070007,128.28364606869658,37.19019783364487,41400,2025-04-30,일반,2025-06-18
주안충원SELF주유소,인천광역시 미추홀구 한나루로523 (주안동),인천광역시 미추홀구 한나루로 524 (주안동),2817710500107150003,126.6686320673002,37.453347654306896,2282000,2025-04-30,일반,2025-06-18
한결주유소,경기도 화성시 남양만로334 (우정읍),경기도 화성시 남양만로 334 (우정읍),4159025628112920000,126.79768768104866,37.01740679306337,399200,2025-04-30,일반,2025-06-18
하나로주유소,경기도 평택시 방여울로68 (가재동),경기도 평택시 방여울로 67 (가재동),4122010700100760003,127.09074799033992,37.0415933440412,813200,2025-04-30,일반,2025-06-18
계림주유소,경기도 여주시 여양1로527 (대신면),경기도 여주시 여양1로 527 (대신면),4167035032101320001,127.5998200860066,37.41397767502778,242600,2025-04-30,일반,2025-06-18
광신리소스주식회사 월영주유소,경상남도 창원시 마산합포구 3·15대로70 (월남동2가),경상남도 창원시 마산합포구 3·15대로 70 (월남동2가),4812513000100090002,128.5612868674396,35.18596687575719,1321000,2025-04-30,일반,2025-06-18
부광주유소,경상북도 안동시 충효로3469 (임하면),경상북도 안동시 충효로 3469 (임하면),4717038024112980092,128.81076375475592,36.5324002516785,97700,2025-04-30,일반,2025-06-18
럭키세븐주유소,경상북도 영천시 최무선로188 (성내동),경상북도 영천시 최무선로 188 (성내동),4723010900103480000,128.92121136781046,35.96265674212652,542700,2025-04-30,일반,2025-06-18
(주)동림에너지 제트주유소,충청북도 청주시 서원구 서부로1433 (개신동),충청북도 청주시 서원구 서부로 1434 (성화동),4311210800104580000,127.45701812922408,36.61952686389655,1419000,2025-04-30,일반,2025-06-18
고산주유소,경상북도 경산시 공단로173 (진량읍),경상북도 경산시 공단로 173 (진량읍),4729025344101100004,128.815959397662,35.84756470742041,390300,2025-04-30,일반,2025-06-18
시종주유소,전라남도 영암군 마한로1265 (시종면),전라남도 영암군 마한로 1265 (시종면),4683034027109460004,126.6088946907012,34.86784683935656,368600,2025-04-30,일반,2025-06-18
삼미상사(주)주안제일Self주유소,인천광역시 미추홀구 경인로258 (도화동),인천광역시 미추홀구 경인로 256 (도화동),2817710400105340024,126.67003708662206,37.46289076437846,2440000,2025-04-30,일반,2025-06-18
음성주유소,충청북도 음성군 충청대로1022 (원남면),충청북도 음성군 충청대로 1031 (원남면),4377032024100190000,127.68301086470072,36.90236713396175,60600,2025-04-30,일반,2025-06-18
동흥주유소,대구광역시 동구 신암로62 (신암동),대구광역시 동구 신암로 62 (신암동),2714010100112980055,128.60780957706038,35.8773812052815,1266000,2025-04-30,일반,2025-06-18
도화IC주유소,인천광역시 미추홀구 송림로309 (도화동),인천광역시 미추홀구 송림로 309 (도화동),2817710400107540001,126.66747022439309,37.47616249298741,1803000,2025-04-30,일반,2025-06-18
(주)씨쓰리비봉에너지,경기도 안성시 서동대로6617 (죽산면),경기도 안성시 서동대로 6617 (죽산면),4155040025105800000,127.3914108816722,37.07251790543455,302100,2025-04-30,일반,2025-06-18
강변주유소,강원도 홍천군 홍천로1090 (화촌면),강원특별자치도 홍천군 홍천로 1090 (화촌면),5172031021100720007,127.93893052218657,37.73696466983681,113800,2025-04-30,일반,2025-06-18
사랑행복주유소,경상북도 영천시 천문로66 (도동),경상북도 영천시 천문로 66 (도동),4723011100102590003,128.92927139657954,35.94498107377384,379500,2025-04-30,일반,2025-06-18
연무주유소,충청남도 논산시 동안로957 (연무읍),충청남도 논산시 동안로 957 (연무읍),4423025324106320027,127.10982635945604,36.13112057947138,194700,2025-04-30,일반,2025-06-18
오륙에너지(주),경기도 파주시 파주로723-22 (교하동),경기도 파주시 파주로 721 (교하동),4148010700100700039,126.76321994479508,37.74570716863053,1043000,2025-04-30,일반,2025-06-18
캐슬주유소,대구광역시 서구 국채보상로317 (평리동),대구광역시 서구 국채보상로 317 (평리동),2717010300110520009,128.5657480675203,35.87229760040395,2564000,2025-04-30,일반,2025-06-18
금정주유소,전라남도 영암군 영나로849 (금정면),전라남도 영암군 영나로 849 (금정면),4683032024110750001,126.75193424033404,34.86095207575642,45700,2025-04-30,일반,2025-06-18
대한통운주유소,광주광역시 북구 무등로195 (신안동),광주광역시 북구 무등로 192-1 (신안동),2917010600101210001,126.90453624307771,35.16516318786981,1409000,2025-04-30,일반,2025-06-18
연아주유소,강원도 원주시 북원로1833 (무실동),강원특별자치도 원주시 북원로 1833 (무실동),5113011500109460001,127.91594339596564,37.31269852145509,658900,2025-04-30,일반,2025-06-18
승화주유소,대구광역시 서구 북비산로161 (평리동),대구광역시 서구 북비산로 161 (평리동),2717010300105640002,128.55071731436712,35.87912211099164,1910000,2025-04-30,일반,2025-06-18
(주)대창석유직영 죽동주유소,전라남도 나주시 예향로3084 (세지면),전라남도 나주시 예향로 3084 (세지면),4617031026106440015,126.71146889291845,34.93380753695782,105700,2025-04-30,일반,2025-06-18
금강주유소,부산광역시 금정구 중앙대로1972 (남산동),부산광역시 금정구 중앙대로 1972 (남산동),2641010400100460003,129.0917018360485,35.26075347037685,2753000,2025-04-30,일반,2025-06-18
용성주유소,울산광역시 남구 화합로24 (여천동),울산광역시 남구 화합로 24 (여천동),3114010700111140001,129.34338718373525,35.52726327685113,834400,2025-04-30,일반,2025-06-18
진례현대주유소,경상남도 김해시 고모로1 (진례면),경상남도 김해시 고모로 1 (진례면),4825033026102110000,128.7673479575435,35.228540514396215,814100,2025-01-24,일반,2025-06-18
원일주유소,경기도 광주시 문화로41 (역동),경기도 광주시 문화로 42 (역동),4161011200100010166,127.2548429106698,37.4073826007242,2273000,2025-04-30,일반,2025-06-18
신도청주유소,경상북도 안동시 지풍로1787 (풍천면),경상북도 안동시 지풍로 1787 (풍천면),4717034031103240001,128.5328570658222,36.56983695460114,252700,2025-04-30,일반,2025-06-18
SK네트웍스(주) 스타팅광동주유소,경기도 성남시 분당구 대왕판교로644번길43 (삼평동),경기도 성남시 분당구 대왕판교로644번길 43 (삼평동),4113510900106750000,127.11146415179174,37.40011377030394,5787000,2025-04-30,일반,2025-06-18
대원주유소,강원도 화천군 포화로1022 (사내면),강원특별자치도 화천군 포화로 1022 (사내면),5179034021108700001,127.51471687332815,38.0605790354385,69900,2025-04-30,일반,2025-06-18
대박주유소,충청북도 옥천군 이원로343 (이원면),충청북도 옥천군 이원로 343 (이원면),4373036026105900003,127.63023188676854,36.20368271695267,77700,2025-04-30,일반,2025-06-18
에이치이판매(주)직영 금샘주유소,부산광역시 사하구 다대로532 (다대동),부산광역시 사하구 다대로 532 (다대동),2638010600111610001,128.971647474566,35.058924856476665,2429000,2025-04-30,일반,2025-06-18
현대주유소,전라남도 진도군 정거름재길168 (군내면),전라남도 진도군 정거름재길 168 (군내면),4690031029102650001,126.2913624742082,34.49090065395804,13100,2025-04-30,일반,2025-06-18
SK전당앞주유소,서울특별시 서초구 남부순환로2391 (서초동),서울특별시 서초구 남부순환로 2391 (서초동),1165010800114640017,127.01193864755426,37.48056625810343,13620000,2025-04-30,일반,2025-06-18
장흥주유소,경기도 양주시 일영로746 (장흥면),경기도 양주시 일영로 746 (장흥면),4163034025102010002,126.93403454620568,37.70851551970509,687200,2025-01-24,일반,2025-06-18
신매주유소,강원도 춘천시 박사로1266 (서면),강원특별자치도 춘천시 박사로 1266 (서면),5111035023108190002,127.71074664182608,37.92167647661024,399200,2025-04-30,일반,2025-06-18
굿오일 대원주유소,경상북도 경주시 금성로225 (사정동),경상북도 경주시 금성로 225 (사정동),4713010900100510004,129.20692393875146,35.83758337135057,1328000,2025-04-30,일반,2025-06-18
이동교주유소,경기도 포천시 호국로346 (소흘읍),경기도 포천시 호국로 346 (소흘읍),4165025022103580001,127.1316978186003,37.80410134570187,898000,2025-04-30,일반,2025-06-18
조화주유소,전라남도 여수시 율촌면 조화리 561번지,전라남도 여수시 율촌면 조화리 561,4613032021105610000,127.5876012946238,34.871225312556454,185200,2025-04-30,일반,2025-06-18
성민주유소,경상북도 구미시 산업로126 (원평동),경상북도 구미시 산업로 121 (원평동),4719010100101930001,128.33620341136032,36.13177152832039,236200,2025-01-24,일반,2025-06-18
현대오일뱅크(주)직영 검단주유소,인천광역시 서구 완정로138 (마전동),인천광역시 서구 완정로 138 (마전동),2826011300109820008,126.66080117910866,37.60095888017763,3503000,2025-04-30,일반,2025-06-18
송치재주유소,전라남도 순천시 순천로758 (서면),전라남도 순천시 순천로 758 (서면),4615032021108150000,127.43744770131258,35.03987854809691,70900,2025-04-30,일반,2025-06-18
현대산단주유소,광주광역시 광산구 영광로3497 (오운동),광주광역시 광산구 영광로 3497 (오운동),2920015900105120003,126.68932951840571,35.16013738105766,394100,2025-04-30,일반,2025-06-18
새천안주유소,충청남도 천안시 서북구 천안대로1307 (신당동),충청남도 천안시 서북구 천안대로 1307 (신당동),4413311000104260007,127.1524691359697,36.85765401956739,853600,2025-01-24,일반,2025-06-18
야로주유소,경상남도 합천군 가야산로360 (야로면),경상남도 합천군 가야산로 360 (야로면),4889034026102660001,128.16957935289548,35.70626510630833,553000,2025-04-30,일반,2025-06-18
씨티주유소,광주광역시 광산구 동곡로350 (복룡동),광주광역시 광산구 동곡로 350 (복룡동),2920014300100910011,126.78035033448424,35.11371353067697,698000,2025-04-30,일반,2025-06-18
양학로주유소,경상북도 포항시 북구 양학로101 (득량동),경상북도 포항시 북구 양학로 101 (득량동),4711311400101900004,129.34445519224792,36.03037672783118,556100,2025-04-30,일반,2025-06-18
믿음주유소(1),강원도 고성군 청간정길5 (토성면),강원특별자치도 고성군 청간정길 5 (토성면),5182033022100320000,128.55564356403397,38.26619069478341,443000,2025-04-30,일반,2025-06-18
평택배미주유소,경기도 평택시 서동대로3622 (합정동),경기도 평택시 서동대로 3622 (합정동),4122011700100790030,127.11208309481964,36.985591809734295,1515000,2025-04-30,일반,2025-06-18
용문주유소,대전광역시 서구 도산로336 (용문동),대전광역시 서구 도산로 336 (용문동),3017010500102770011,127.38963805272014,36.33508501996257,1712000,2025-04-30,일반,2025-06-18
남부주유소,경상북도 김천시 양금로193 (황금동),경상북도 김천시 양금로 193 (황금동),4715010700101640007,128.12253630351233,36.11153955229624,494800,2025-04-30,일반,2025-06-18
새소망주유소,경기도 수원시 팔달구 팔달로137 (화서동),경기도 수원시 팔달구 팔달로 137 (화서동),4111513800100710010,127.0046589441466,37.28078220685476,2374000,2025-04-30,일반,2025-06-18
새금암,전라북도 익산시 황등서로404 (함라면),전북특별자치도 익산시 황등서로 404 (함라면),5214033026107600001,126.903610870202,36.00768480111474,74200,2025-04-30,일반,2025-06-18
관문주유소,"울산광역시 남구 대학로1번길9-1 (무거동, 베스트빌)",울산광역시 남구 대학로1번길 9-1 (무거동),3114010100110050000,129.25278009902055,35.53646578619876,2210000,2025-04-30,일반,2025-06-18
안성고속주유소,경기도 안성시 서동대로4891 (대덕면),경기도 안성시 서동대로 4891 (대덕면),4155035027101570001,127.24156362169366,37.0206707970848,557900,2025-04-30,일반,2025-06-18
송강주유소,경상남도 양산시 원동로1243 (원동면),경상남도 양산시 원동로 1243 (원동면),4833032027112780001,128.9374683723836,35.35236558042786,258600,2025-04-30,일반,2025-06-18
상촌주유소,충청북도 영동군 민주지산로2993 (상촌면),충청북도 영동군 민주지산로 2993 (상촌면),4374035021103520006,127.91337283851814,36.1468845160758,97800,2025-04-30,일반,2025-06-18
안녕그린주유소,경기도 화성시 효행로852 (안녕동),경기도 화성시 효행로 852 (안녕동),4159012600100150011,127.02262393849286,37.20536573768638,1334000,2025-01-24,일반,2025-06-18
