행정구역,순위,인구 천명당 사업체수(개),비율(%),lat,lon
경기도 성남시 수정구 시흥동,76.0,438.68,0.09,37.4220156950269,127.107911064005
부산광역시 강서구 강동동,77.0,435.46,0.09,35.2145168459075,128.93527140593
경기도 김포시 대곶면,78.0,432.35,0.09,37.6493717480775,126.582137857681
대전광역시 대덕구 대화동,79.0,430.86,0.09,36.3664804183066,127.411410536653
광주광역시 서구 양동,80.0,427.01,0.09,35.1500672202476,126.906906410567
서울특별시 강남구 논현2동,81.0,423.75,0.09,37.517393186314,127.037350857638
서울특별시 송파구 문정2동,82.0,417.43,0.09,37.4898951926477,127.110912385336
인천광역시 중구 연안동,83.0,415.84,0.09,37.4532343334369,126.604524133004
전라남도 여수시 중앙동,84.0,414.39,0.08,34.7389154418505,127.738189779903
서울특별시 강남구 신사동,85.0,413.42,0.08,37.5239850298541,127.02277448907
충청북도 진천군 문백면,86.0,410.35,0.08,36.7844778555672,127.437173432684
경기도 화성시 양감면,87.0,404.72,0.08,37.08130590205,126.94442445685
강원특별자치도 춘천시 조운동,88.0,400.62,0.08,37.8794196205189,127.730357235877
경상북도 칠곡군 가산면,89.0,398.22,0.08,36.0859630613676,128.538885492012
경상남도 김해시 진례면,90.0,397.05,0.08,35.2490641531016,128.747720901894
전라남도 광양시 태인동,91.0,393.04,0.08,34.9434809071344,127.749559400832
서울특별시 강남구 논현1동,92.0,390.27,0.08,37.5114706392719,127.028552712008
경상남도 통영시 중앙동,93.0,388.94,0.08,34.8448324831896,128.423086397475
경상북도 영주시 영주2동,94.0,387.85,0.08,36.8207376817204,128.618688875464
전북특별자치도 전주시 완산구 중앙동,95.0,386.22,0.08,35.8234981750525,127.14061763346
부산광역시 사상구 삼락동,96.0,385.49,0.08,35.176946902629,128.977752365755
서울특별시 구로구 구로3동,97.0,384.73,0.08,37.4873483040232,126.890330632764
부산광역시 금정구 선두구동,98.0,382.97,0.08,35.2982786152752,129.11333072051
서울특별시 성동구 성수1가2동,99.0,381.59,0.08,37.5463633733526,127.044313307763
경기도 고양시 일산동구 장항2동,100.0,381.06,0.08,37.6498818926668,126.778316793256
전라남도 순천시 중앙동,101.0,378.25,0.08,34.9560568489823,127.484897061641
경기도 부천시 오정구 신흥동,102.0,376.63,0.08,37.520443225179,126.7733338846
인천광역시 중구 신포동,103.0,375.81,0.08,37.4711133457111,126.626505465171
경상남도 하동군 고전면,104.0,373.17,0.08,35.0221535536567,127.817381325201
광주광역시 광산구 비아동,105.0,371.82,0.08,35.2221814384971,126.824403955397
대구광역시 달성군 하빈면,106.0,371.04,0.08,35.9009239874899,128.445522157
서울특별시 서초구 서초3동,107.0,369.84,0.08,37.4837080639573,127.01200750943
부산광역시 부산진구 부전1동,108.0,368.15,0.08,35.1635064656059,129.063005554801
전라남도 목포시 만호동,109.0,358.87,0.07,34.784931327094,126.384666821074
경기도 양주시 은현면,110.0,356.42,0.07,37.8750011475252,127.024564300477
경기도 평택시 서탄면,111.0,356.32,0.07,37.1082411769342,127.035321910042
경상남도 김해시 생림면,112.0,356.31,0.07,35.3281454750583,128.849275392053
경상북도 포항시 남구 제철동,113.0,355.77,0.07,35.9923046138319,129.397112795778
강원특별자치도 삼척시 남양동,114.0,353.04,0.07,37.4425644575772,129.168465969123
경상북도 포항시 남구 대송면,115.0,348.05,0.07,35.968488283645,129.359927377442
서울특별시 서초구 양재2동,116.0,346.88,0.07,37.4706332171865,127.041288687936
경상남도 김해시 칠산서부동,117.0,346.15,0.07,35.2228920051476,128.871000704448
제주특별자치도 제주시 도두동,118.0,344.88,0.07,33.5029008833257,126.468230562282
경기도 포천시 가산면,119.0,342.85,0.07,37.8486887449825,127.186545889806
경상북도 고령군 성산면,120.0,342.82,0.07,35.7499058888512,128.359921388395
대구광역시 동구 신천4동,121.0,342.48,0.07,35.871749274652,128.62930603461
경기도 하남시 천현동,122.0,342.08,0.07,37.5259176522041,127.217102955502
전북특별자치도 남원시 죽항동,123.0,341.37,0.07,35.4075774617866,127.384550058262
서울특별시 서초구 서초2동,124.0,339.8,0.07,37.4921394474611,127.025076125816
광주광역시 광산구 평동,125.0,339.55,0.07,35.1247394782289,126.760253230183
강원특별자치도 속초시 대포동,126.0,338.23,0.07,38.1731774796421,128.595997374324
제주특별자치도 서귀포시 정방동,127.0,337.69,0.07,33.2458653684424,126.565248720149
경기도 포천시 내촌면,128.0,336.15,0.07,37.7862179992256,127.228615198246
서울특별시 금천구 시흥3동,129.0,336.12,0.07,37.4402783870418,126.905780873049
경상북도 김천시 농소면,130.0,331.4,0.07,36.1060493924558,128.172385902402
전북특별자치도 익산시 인화동,131.0,329.97,0.07,35.9294686234136,126.953627895067
충청남도 서산시 동문2동,132.0,329.34,0.07,36.7777875303449,126.46002260717
강원특별자치도 삼척시 신기면,133.0,326.8,0.07,37.3496092010973,129.083182759223
경상남도 진주시 중앙동,134.0,326.3,0.07,35.1920769108122,128.086193969614
경기도 김포시 하성면,135.0,323.4,0.07,37.7201465113611,126.631238316931
광주광역시 북구 중앙동,136.0,317.98,0.07,35.1573211105292,126.906573276737
경기도 과천시 과천동,137.0,317.65,0.07,37.4484033595931,126.995461441865
광주광역시 북구 중흥1동,138.0,316.61,0.06,35.1616781988718,126.913755347083
대구광역시 중구 삼덕동,139.0,313.76,0.06,35.8655243144641,128.608976627949
전북특별자치도 부안군 행안면,140.0,312.71,0.06,35.7248236345851,126.722339602806
경상북도 영주시 영주1동,141.0,308.02,0.06,36.8265780169198,128.619878905479
전북특별자치도 전주시 덕진구 팔복동,142.0,307.45,0.06,35.8536571039537,127.106245996314
인천광역시 서구 가좌1동,143.0,305.39,0.06,37.4943735273066,126.672630574317
부산광역시 영도구 남항동,144.0,303.94,0.06,35.0899428667103,129.037626301725
서울특별시 강남구 대치4동,145.0,303.84,0.06,37.4997288869796,127.057747872925
부산광역시 동구 초량1동,146.0,299.47,0.06,35.1139466132853,129.036978077125
경상남도 창원시 마산합포구 오동동,147.0,299.19,0.06,35.2087831844856,128.578531295132
인천광역시 중구 용유동,148.0,298.66,0.06,37.4438906327653,126.402431788746
전북특별자치도 부안군 줄포면,149.0,298.61,0.06,35.5911388222715,126.677645545578
경기도 화성시 마도면,150.0,297.45,0.06,37.2054737239427,126.769633656944
충청남도 천안시 동남구 성남면,151.0,297.2,0.06,36.742472889831,127.236938249311
충청남도 아산시 온양1동,152.0,296.8,0.06,36.787119462153,126.999498090973
경상남도 밀양시 내일동,153.0,293.9,0.06,35.4936937456701,128.754167936421
경기도 안양시 동안구 호계1동,154.0,293.67,0.06,37.3716409699637,126.961104846097
전라남도 함평군 해보면,155.0,293.21,0.06,35.1805503390195,126.601139324468
부산광역시 중구 동광동,156.0,293.11,0.06,35.1074124742504,129.035192404726
전라남도 나주시 이창동,157.0,293.03,0.06,34.9975738347622,126.71056510985
충청남도 금산군 복수면,158.0,290.19,0.06,36.1664431839347,127.398337006883
강원특별자치도 원주시 호저면,159.0,289.3,0.06,37.4110343612581,127.925706853576
경기도 수원시 팔달구 행궁동,160.0,288.99,0.06,37.2840915640961,127.012674868847
서울특별시 용산구 한강로동,161.0,288.66,0.06,37.5281422426636,126.969228070947
경상남도 사천시 축동면,162.0,288.46,0.06,35.1098420933812,128.085351646579
전북특별자치도 군산시 월명동,163.0,288.42,0.06,35.9864362735702,126.70897516729
경상남도 양산시 중앙동,164.0,287.78,0.06,35.345842365418,129.040871217976
경상북도 칠곡군 동명면,165.0,287.42,0.06,35.9840337863385,128.553499118489
경상북도 성주군 선남면,166.0,287.05,0.06,35.9008625417682,128.351773337995
서울특별시 강서구 가양1동,167.0,285.06,0.06,37.5694972894276,126.844728733334
