adm_cd,population,traffic,tourism,commercial_density,full_name
2714076000,20734.0,3705.5,26.0,0.01,
2717067500,19219.0,29690.0,3.0,0.06,
2717069500,5537.0,36971.0,9.0,0.02,
2720057100,12664.0,29690.0,0.0,0.02,
2720058600,11423.0,29690.0,6.0,0.03,
2720064000,14466.0,29690.0,3.0,0.02,
2723055000,3826.0,36971.0,0.0,0.09,
2723062000,10219.0,36971.0,5.0,0.09,
2723063000,14740.0,36971.0,1.0,0.02,
2723067100,8102.0,36971.0,13.0,0.02,
2723079000,10688.0,29690.0,10.0,0.14,
2726052000,14227.0,20197.0,0.0,0.03,
2726055000,18307.666666666668,31379.666666666668,3.6666666666666665,0.02,
2726056000,10182.0,20197.0,1.0,0.02,
2726056100,20334.0,20197.0,0.0,0.01,
2726060200,12005.0,20197.0,11.0,0.03,
2726061000,13055.0,28584.0,4.0,0.02,
2726062000,14676.0,20197.0,4.0,0.02,
2726064000,14230.0,20197.0,16.0,0.03,
2726065100,19752.0,20197.0,1.0,0.02,
2726065200,18330.0,20197.0,0.0,0.02,
2729053500,15023.0,29690.0,7.0,0.02,
2729055000,8653.0,29690.0,4.0,0.04,
2729056800,16567.0,29690.0,2.0,0.03,
2729057700,15764.0,29690.0,5.0,0.04,
2729058500,40157.0,31748.0,41.0,0.03,
2729060200,15996.0,31062.0,0.0,0.05000000000000001,
2771025000,46320.0,31748.0,2.0,0.02,대구광역시 달성군 화원읍
2771025300,20525.0,19610.0,14.0,0.03,대구광역시 달성군 논공읍
2771026500,24030.0,20557.0,10.0,0.02,대구광역시 달성군 현풍읍
2771031000,7288.0,10165.0,8.0,0.02,대구광역시 달성군 가창면
2772025000,7695.0,16387.0,7.0,0.04,대구광역시 군위군 군위읍
2772032000,3645.0,10632.0,2.0,0.03,대구광역시 군위군 효령면
2772036000,1123.0,3219.0,0.0,0.03,대구광역시 군위군 산성면
2811052000,5668.0,26544.0,25.0,0.09,
2811053000,4944.0,39066.5,18.0,0.08,
2811054000,14505.0,26544.0,11.0,0.03,
2811056000,3645.0,26544.0,0.0,0.02,
2811058500,5683.0,26544.0,34.0,0.05,
2811061500,7460.0,51589.0,27.0,0.02,
2811062800,36359.0,25103.5,45.0,0.02,
2811063000,3288.0,24738.6,122.0,0.06,
2814059000,1472.0,9736.0,10.0,0.04,
2817751000,14330.0,26544.0,6.0,0.02,
2817752000,15381.0,9736.0,4.0,0.01,
2817758000,31035.0,26544.0,0.0,0.01,
2817761000,31905.0,9736.0,1.0,0.02,
2817762000,21081.0,9736.0,75.0,0.03,
2817763000,21689.0,9736.0,6.0,0.01,
2817764000,12055.0,9736.0,1.0,0.01,
2817765000,17551.0,9736.0,3.0,0.02,
2817767000,21792.0,9736.0,27.0,0.02,
2817768000,11382.0,9736.0,0.0,0.02,
2817769000,19322.0,9736.0,0.0,0.01,
2817770000,19322.0,9736.0,0.0,0.01,
2817771000,14181.0,24733.0,0.0,0.01,
2818563000,19076.0,26544.0,49.0,0.03,
2818575000,19407.0,24733.0,0.0,0.01,
2818578000,24108.0,26544.0,1.0,0.01,
2818584000,38403.0,26544.0,3.0,0.02,
2818585000,29428.0,26544.0,3.0,0.02,
2820051000,30660.5,9736.0,8.5,0.03,
2820052100,29993.0,9736.0,11.0,0.04,
2820053000,17284.0,9736.0,6.0,0.02,
2820055100,29333.0,9736.0,2.0,0.02,
2820066000,21029.0,24733.0,0.0,0.03,
2820070000,33593.0,24733.0,5.0,0.03,
2820071000,44096.0,26544.0,0.0,0.04,
2823751000,36420.0,9736.0,49.0,0.02,
2823755000,37201.0,9736.0,59.0,0.02,
2823759200,34964.0,40984.0,10.0,0.03,
2823764100,15659.0,40984.0,6.0,0.03,
2823767000,11929.0,9736.0,0.0,0.02,
2823768000,24716.0,9736.0,1.0,0.01,
2823769000,23206.0,9736.0,27.0,0.02,
2824560200,27256.0,40984.0,13.0,0.01,
2824561200,15266.0,40984.0,0.0,0.02,
2824562100,25700.0,40984.0,1.0,0.01,
2824564000,33322.0,40984.0,13.0,0.02,
2824571000,19203.0,40984.0,0.0,0.01,
2826051500,26690.0,51589.0,8.0,0.04,
2826053900,32337.0,51589.0,0.5,0.02,
2826056000,13128.0,51589.0,2.0,0.05,
2826056100,12768.0,40984.0,0.0,0.01,
2826057500,29945.0,51589.0,1.0,0.03,
2826058000,14241.0,9736.0,0.0,0.06,
2826060000,15839.0,9736.0,1.0,0.03,
2826061000,11704.0,9736.0,0.0,0.02,
2826068000,33708.0,51589.0,4.0,0.02,
2826072000,26690.0,51589.0,8.0,0.04,
2871025000,21483.0,9407.0,19.0,0.03,인천광역시 강화군 강화읍
2871033000,6935.0,26928.0,34.0,0.04,인천광역시 강화군 길상면
2871034000,4220.0,26928.0,41.0,0.04,인천광역시 강화군 화도면
2911052500,5594.0,6594.0,59.0,0.22000000000000003,
2911054500,4030.0,6594.0,2.0,0.05,
2911057000,13315.0,6594.0,0.0,0.01,
2911065500,6537.0,52845.0,10.0,0.05,
2911068500,7479.0,52845.0,22.0,0.03,
2914066000,4492.0,39702.0,10.0,0.05,
2914074000,10818.0,24470.0,0.0,0.03,
2914074500,29447.0,39702.0,59.0,0.04,
2914075100,24173.0,39702.0,10.0,0.02,
2914075200,15928.0,39702.0,2.0,0.025,
2914076000,15641.0,39702.0,10.0,0.02,
2914078000,9069.0,39702.0,0.0,0.02,
2914080000,6034.0,39702.0,0.0,0.22,
2914084000,15219.0,24470.0,0.0,0.02,
2915551000,6726.0,52845.0,0.0,0.02,
2915552000,6678.0,52845.0,3.0,0.01,
2915563000,8263.0,39702.0,2.0,0.02,
2915564000,5948.0,39702.0,1.0,0.03,
2915568000,6852.0,52845.0,17.0,0.02,
2915572000,22328.0,39702.0,0.0,0.02,
2917051000,4406.0,13843.0,28.0,0.06,
2917053500,15147.0,13843.0,2.0,0.02,
2917059000,43567.0,13843.0,9.0,0.02,
2917060200,11556.0,13843.0,22.0,0.03,
2917066300,12355.0,6594.0,1.0,0.01,
2917066600,13497.0,13843.0,0.0,0.01,
2917067700,13254.0,13843.0,1.0,0.02,
2917068500,2166.0,6594.0,0.0,0.03,
2917069500,23287.0,7580.25,12.0,0.04,
2917069600,36333.0,20919.0,0.0,0.02,
2917069700,28591.0,3134.0,0.0,0.01,
2920052500,6228.0,13462.0,25.0,0.05,
2920054000,14668.0,13462.0,0.0,0.02,
2920055000,4182.0,13462.0,0.0,0.02,
2920062000,7778.0,24470.0,0.0,0.08,
2920062400,26979.0,24470.0,32.0,0.01,
2920063000,18993.0,24470.0,3.0,0.02,
2920063500,30070.0,24470.0,0.0,0.01,
2920064000,29835.0,24470.0,4.0,0.04,
2920065000,29835.0,24470.0,4.0,0.04,
2920066000,1699.0,13462.0,0.0,0.04,
2920068000,2401.0,4782.0,0.0,0.03,
2920070000,34526.0,24470.0,0.0,0.02,
3011051500,3602.0,14337.0,63.0,0.18000000000000002,
3011054500,14985.0,14337.0,2.0,0.01,
3011056000,25662.0,16454.0,1.0,0.01,
3011058500,13852.0,16454.0,0.0,0.02,
3011059000,16673.0,16454.0,1.0,0.01,
3011063000,20111.0,16454.0,4.0,0.02,
3011069500,13070.0,14337.0,2.0,0.03,
3011074000,19742.0,13889.0,5.0,0.02,
3014053500,13975.0,14337.0,41.0,0.06,
3014056000,13549.0,14337.0,0.0,0.02,
3014057500,13355.0,14337.0,48.2,0.044,
3014062000,14597.0,14337.0,0.0,0.02,
3014063000,5434.0,14337.0,6.0,0.03,
3014064000,6277.0,14337.0,3.0,0.04,
3014065500,9065.0,14337.0,3.0,0.02,
3014067000,10030.0,14337.0,8.0,0.03,
3014068000,12579.0,14337.0,0.0,0.02,
3014071000,13016.0,14337.0,2.0,0.02,
3017051000,23043.0,14337.0,0.0,0.01,
3017054000,14062.0,14337.0,1.0,0.03,
3017055000,12004.0,14337.0,14.0,0.02,
3017055500,26546.0,14337.0,3.0,0.03,
3017056000,18945.0,14337.0,6.0,0.04,
3017057000,10789.0,14337.0,1.0,0.01,
3017057500,22588.0,14337.0,0.0,0.01,
3017058100,21286.0,14337.0,0.0,0.02,
3017058200,24218.0,14337.0,0.0,0.02,
3017058600,11657.0,14337.0,7.0,0.04,
3017058700,13443.0,14337.0,3.0,0.03,
3017059000,10235.0,14337.0,0.0,0.02,
3017063000,15842.0,14337.0,17.0,0.03,
3017064000,23968.5,14337.0,31.0,0.045,
3017065000,12178.0,14337.0,0.0,0.03,
3020053000,27075.0,16850.0,89.0,0.04,
3020054600,20595.0,16850.0,0.0,0.03,
3020060000,33635.0,19795.0,3.0,0.03,
3023051000,17058.0,14337.0,2.0,0.05,
3023052000,6733.0,17975.666666666668,0.0,0.09000000000000001,
3023052500,11296.0,19795.0,2.0,0.03,
3023053300,15278.0,16454.0,2.0,0.02,
3023054600,18600.0,15395.5,35.0,0.03,
3023055000,14346.0,19795.0,37.0,0.02,
3023057000,14141.666666666666,19795.0,3.3333333333333335,0.02333333333333333,
