대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,경상북도 경산시 진량읍 내리리 15,경상북도,44028,6546,4,0.02,35.90143588,128.8469334,4729025300.0,2,92,0.0,0,0,3
가설건축,광주광역시 광산구 요기동 298-16,광주광역시,1699,13462,0,0.04,35.11210901,126.7779354,2920066000.0,273,596,0.0,0,0,0
가설건축,광주광역시 남구 월산동 1019-23,광주광역시,5948,39702,1,0.03,35.14230248,126.8953493,2915564000.0,1083,3361,0.0,2,2,14
가설건축,광주광역시 서구 덕흥동 814-4,광주광역시,10818,24470,0,0.03,35.16301048,126.8302256,2914074000.0,226,498,0.0,0,0,1
가설건축,광주광역시 북구 용두동 1009-16,광주광역시,23287,20919,12,0.04,35.22574629,126.8701382,2917069500.0,295,587,0.0,0,0,1
가설건축,광주광역시 광산구 장수동 390,광주광역시,29835,24470,4,0.04,35.18194022,126.7855515,2920064000.0,465,1185,0.0,0,0,2
가설건축,광주광역시 광산구 진곡동 264-1,광주광역시,29835,24470,4,0.04,35.21231484,126.7896418,2920064000.0,409,880,0.0,0,0,2
가설건축,광주광역시 광산구 신가동 200-63,광주광역시,30070,24470,0,0.01,35.17618337,126.8318449,2920063500.0,295,779,0.0,0,0,0
가설건축,광주광역시 광산구 신창동 822-3,광주광역시,34526,24470,0,0.02,35.18236372,126.8458938,2920070000.0,278,602,0.0,0,0,0
가설건축,광주광역시 광산구 신창동 27-1,광주광역시,34526,24470,0,0.02,35.19379531,126.8536506,2920070000.0,514,1251,0.0,0,0,3
가설건축,광주광역시 광산구 신창동 15-22,광주광역시,34526,24470,0,0.02,35.1935809,126.8544921,2920070000.0,491,1219,0.0,0,0,3
가설건축,대구광역시 군위군 효령면 고곡리 120,대구광역시,3645,10632,2,0.03,36.10637536,128.5801264,2772032000.0,353,752,0.0,0,0,1
가설건축,대구광역시 중구 봉산동 37-20,대구광역시,4752,36971,17,0.22,35.86587352,128.595092,2711056500.0,1653,4304,0.0,12,7,135
가설건축,대구광역시 중구 동성로1가 31-2,대구광역시,4752,36971,17,0.22,35.87254419,128.595332,2711056500.0,1964,3992,0.0,11,12,88
가설건축,대구광역시 수성구 두산동 669-1,대구광역시,14230,20197,16,0.03,35.82700179,128.6232121,2726064000.0,627,1520,0.0,3,5,42
가설건축,대구광역시 달서구 월암동 1-163,대구광역시,15996,31748,0,0.05,35.83385021,128.4957552,2729060200.0,107,301,0.0,3,0,5
가설건축,대구광역시 달성군 논공읍 위천리 191-11,대구광역시,20525,19610,14,0.03,35.76009268,128.3976737,2771025300.0,574,1022,0.0,0,0,1
가설건축,대구광역시 달성군 현풍읍 하리 240-4,대구광역시,24030,20557,10,0.02,35.69319725,128.4448524,2771026500.0,1186,2334,0.0,2,1,63
가설건축,대구광역시 달서구 호산동 706-9,대구광역시,40157,31748,41,0.03,35.84389625,128.483188,2729058500.0,63,203,0.0,1,1,3
가설건축,대구광역시 달성군 화원읍 성산리 26-1,대구광역시,46320,31748,2,0.02,35.80760225,128.4910954,2771025000.0,588,1418,0.0,0,0,1
가설건축,대구광역시 달성군 화원읍 성산리 25-3,대구광역시,46320,31748,2,0.02,35.80708842,128.491182,2771025000.0,633,1473,0.0,1,0,5
가설건축,대전광역시 대덕구 문평동 43-8,대전광역시,6520,19795,0,0.04,36.43911608,127.3949035,3023058000.0,180,367,0.0,0,0,0
가설건축,대전광역시 서구 월평동 67,대전광역시,11657,14337,7,0.04,36.34289059,127.3554608,3017058600.0,265,486,0.0,0,0,1
