대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율)
근린생활시설,강원특별자치도 강릉시 옥천동 62-3,강원특별자치도 강릉시 옥천동,3236,8976,52,0.11
근린생활시설,강원특별자치도 원주시 단계동 879-1,강원특별자치도 원주시 무실동,34464,47596,9,0.02
근린생활시설,강원특별자치도 원주시 반곡동 1141,강원특별자치도 원주시 반곡관설동,45914,36457,6,0.02
근린생활시설,강원특별자치도 홍천군 홍천읍 희망리 398-2,강원특별자치도 홍천군 홍천읍,32605,21962,41,0.03
근린생활시설,강원특별자치도 춘천시 후평동 735-23,강원특별자치도 춘천시 후평1동,13775,18836,5,0.02
근린생활시설,경기 가평군 가평읍 읍내리 615-12,경기도 가평군 가평읍,19438,27704,150,0.03
근린생활시설,경기 부천시 소사구 괴안동 112-23,경기도 부천시 소사구 역곡3동,23416,9736,5,0.02
근린생활시설,경기 가평군 청평면 대성리 344-22,경기도 가평군 청평면,12863,5134,106,0.03
근린생활시설,경기 포천시 선단동 557,경기도 포천시 선단동,18136,28033,,0.03
근린생활시설,경기 군포시 대야미동 5,경기도 군포시 대야동,9075,94213,3,0.02
근린생활시설,경남 김해시 삼계동 1460-5,경상남도 김해시 북부동,82345,30599,22,0.01
근린생활시설,경남 김해시 삼정동 616-3,경상남도 김해시 활천동,40591,98741,46,0.02
근린생활시설,경남 김해시 삼정동 616-5,경상남도 김해시 활천동,40591,98741,46,0.02
근린생활시설,경남 김해시 외동 238-19,경상남도 김해시 내외동,72268,81441,9,0.02
근린생활시설,경남 통영시 봉평동 124-7,경상남도 통영시 봉평동,9363,9785,14,0.02
근린생활시설,경북 포항시 북구 장성동 1576-5,경상북도 포항시 북구 장량동,70669,8963,10,0.02
근린생활시설,경북 포항시 남구 상도동 601,경상북도 포항시 남구 상대동,23665,37969,53,0.04
근린생활시설,경북 포항시 북구 죽도동 699-1,경상북도 포항시 북구 죽도동,19406,36156,43,0.05
근린생활시설,경북 경주시 황오동 307-2,경상북도 경주시 황오동,5937,25475,155,0.06
근린생활시설,경북 경주시 황남동 271-46,경상북도 경주시 황남동,3845,25475,1,0.06
근린생활시설,광주 광산구 흑석동 530,광주광역시 광산구 수완동,74166,63810,,0.01
근린생활시설,광주 동구 월남동 625,광주광역시 동구 지원2동,17169,52845,,0.01
근린생활시설,광주 광산구 산정동 143-16,광주광역시 광산구 월곡2동,21404,63810,,0.02
근린생활시설,광주 북구 신안동 335-1,광주광역시 북구 신안동,12894,134317,86,0.03
근린생활시설,광주 동구 동명동 12-3,광주광역시 동구 동명동,4030,97671,49,0.05
근린생활시설,대구 동구 신서동 718,대구광역시 동구 안심4동,27078,72253,1,0.02
근린생활시설,대구 중구 동성로2가 150-16,대구광역시 중구 성내1동,4752,135921,17,0.22
근린생활시설,대구 북구 태전동 1049-2,대구광역시 북구 태전2동,23925,41578,6,0.02
근린생활시설,대구 동구 신천동 300-2,대구광역시 동구 신천4동,7945,27690,45,0.07
근린생활시설,대구 중구 봉산동 5-4,대구광역시 중구 성내1동,4752,135921,17,0.22
근린생활시설,대전 서구 가수원동 655-4,대전광역시 서구 가수원동,10235,44361,,0.02
근린생활시설,대전 서구 가장동 54-26,대전광역시 서구 가장동,10789,44361,1,0.01
근린생활시설,대전 중구 대흥동 452-2,대전광역시 중구 대흥동,13200,51477,74,0.04
근린생활시설,대전 중구 은행동 166-2,대전광역시 중구 은행선화동,13975,98950,41,0.06
근린생활시설,대전 동구 성남동 502-2,대전광역시 동구 성남동,10895,98950,56,0.02
근린생활시설,부산 금정구 구서동 163-2,부산광역시 금정구 구서2동,30692,70579,2,0.01
근린생활시설,부산 부산진구 범전동 383-25,부산광역시 부산진구 부전1동,15192,74754,68,0.08
근린생활시설,부산 강서구 대저1동 2530-3,부산광역시 강서구 대저1동,5604,74754,,0.15
근린생활시설,부산 사상구 주례동 189-9,부산광역시 사상구 주례2동,25037,134118,1,0.01
근린생활시설,부산 사하구 하단동 1157-17,부산광역시 사하구 하단2동,26852,134118,28,0.02
근린생활시설,서울 강서구 등촌동 630,서울특별시 강서구 등촌1동,24308,196415,1,0.02
근린생활시설,서울 양천구 신월동 199-3,서울특별시 양천구 신월3동,14226,190133,,0.02
근린생활시설,서울 서초구 양재동 81,서울특별시 서초구 양재1동,40223,203917,1,0.03
근린생활시설,서울 양천구 신월동 205-48,서울특별시 양천구 신월3동,14226,190133,,0.02
근린생활시설,서울 강서구 화곡동 772-67,서울특별시 강서구 화곡4동,19617,190133,1,0.02
근린생활시설,울산 남구 삼산동 1550-7,울산광역시 남구 삼산동,47809,20222,104,0.05
근린생활시설,울산 남구 달동 1313-9,울산광역시 남구 삼산동,47809,20222,104,0.05
근린생활시설,울산 중구 복산동 40-6,울산광역시 중구 복산동,17417,24520,1,0.01
근린생활시설,울산 북구 연암동 1260-3,울산광역시 북구 효문동,29237,30691,9,0.04
근린생활시설,울산 울주군 삼남읍 가천리 1132-17,울산광역시 울주군 삼남읍,22317,11555,13,0.02
근린생활시설,인천 중구 덕교동 615-12,인천광역시 중구 용유동,3288,76027,122,0.06
근린생활시설,인천 남동구 구월동 1185,인천광역시 남동구 구월1동,31328,145280,6,0.02
근린생활시설,인천 남동구 구월동 1120-16,인천광역시 남동구 구월3동,29993,145280,11,0.04
근린생활시설,인천 연수구 송도동 8-17,인천광역시 연수구 송도1동,38403,60971,3,0.02
근린생활시설,인천 남동구 구월동 279-3,인천광역시 남동구 구월1동,31328,145280,6,0.02
근린생활시설,전남 광양시 중동 1309-3,전라남도 광양시 중마동,56681,11124,42,0.02
근린생활시설,전남 순천시 조례동 382-1,전라남도 순천시 왕조1동,37680,16890,13,0.02
근린생활시설,전남 광양시 마동 421-2,전라남도 광양시 중마동,56681,11124,42,0.02
근린생활시설,전남 장성군 장성읍 영천리 1481-20,전라남도 장성군 장성읍,12715,48279,14,0.03
근린생활시설,전남 목포시 무안동 1-3,전라남도 목포시 목원동,6544,16601,53,0.05
근린생활시설,전북특별자치도 전주시 완산구 경원동1가 40-5,전북특별자치도 전주시 완산구 풍남동,3745,26298,39,0.13
근린생활시설,전북특별자치도 정읍시 수성동 524-17,전북특별자치도 정읍시 수성동,16490,42642,16,0.03
근린생활시설,전북특별자치도 전주시 덕진구 송천동2가 527,전북특별자치도 전주시 덕진구 송천1동,63864,29756,2,0.01
근린생활시설,전북특별자치도 전주시 완산구 효자동1가 411-24,전북특별자치도 전주시 완산구 효자3동,14006,35443,,0.02
근린생활시설,전북특별자치도 군산시 중앙로1가 12-2,전북특별자치도 군산시 월명동,4490,16140,24,0.06
근린생활시설,제주특별자치도 제주시 건입동 940-15,제주특별자치도 제주시 건입동,9010,33186,31,0.02
근린생활시설,제주특별자치도 제주시 이도이동 1991-9,제주특별자치도 제주시 이도2동,48436,35338,32,0.03
근린생활시설,제주특별자치도 제주시 연동 2325-7,제주특별자치도 제주시 연동,43976,54135,144,0.03
근린생활시설,제주특별자치도 제주시 조천읍 함덕리 270-1,제주특별자치도 제주시 조천읍,24995,19080,67,0.03
근린생활시설,제주특별자치도 제주시 조천읍 신촌리 1615-2,제주특별자치도 제주시 조천읍,24995,29904,67,0.03
근린생활시설,충남 천안시 동남구 구룡동 564-27,충청남도 천안시 동남구 청룡동,58598,27379,20,0.02
근린생활시설,충남 천안시 서북구 성정동 695-1,충청남도 천안시 서북구 성정1동,18124,54979,33,0.02
근린생활시설,충남 천안시 동남구 원성동 442-1,충청남도 천안시 동남구 원성1동,8377,163427,2,0.03
근린생활시설,충남 천안시 서북구 쌍용동 997,충청남도 천안시 서북구 쌍용1동,13139,54979,18,0.03
근린생활시설,충남 서산시 예천동 696-7,충청남도 서산시 석남동,34694,15400,2,0.02
근린생활시설,충북 청주시 상당구 용암동 764,충청북도 청주시 상당구 용암1동,56962,22985,22,0.02
근린생활시설,충북 청주시 서원구 현도면 선동리 284-7,충청북도 청주시 서원구 현도면,3427,18183,2,0.05
근린생활시설,충북 청주시 흥덕구 봉명동 1405,충청북도 청주시 흥덕구 봉명2·송정동,24433,33926,11,0.03
근린생활시설,충북 제천시 중앙로2가 68-3,충청북도 제천시 중앙동,5353,14090,1031,0.1
근린생활시설,충북 청주시 서원구 죽림동 143-1,충청북도 청주시 서원구 성화·개신·죽림동,47463,38488,,0.01
공동주택,강원특별자치도 강릉시 교동 140-16,강원특별자치도 강릉시 교2동,7268,36978,71,0.03
공동주택,강원특별자치도 춘천시 퇴계동 369-9,강원특별자치도 춘천시 퇴계동,46293,9664,27,0.02
공동주택,강원특별자치도 양양군 서면 논화리 165,강원특별자치도 양양군 서면,2477,2120,176,0.04
공동주택,강원특별자치도 홍천군 홍천읍 연봉리 457-1,강원특별자치도 홍천군 홍천읍,32605,21962,41,0.03
공동주택,강원특별자치도 강릉시 교동 972-2,강원특별자치도 강릉시 교1동,25038,36978,17,0.02
공동주택,경기 부천시 오정구 오정동 546-6,경기도 부천시 오정구 오정동,19518,187993,3,0.02
공동주택,경기 용인시 기흥구 신갈동 57-27,경기도 용인시 기흥구 신갈동,37250,239871,17,0.01
공동주택,경기 수원시 영통구 원천동 605,경기도 수원시 영통구 원천동,49289,81412,,0.02
공동주택,경기 부천시 소사구 심곡본동 629-29,경기도 부천시 소사구 심곡본1동,18484,163046,7,0.02
공동주택,경기 양주시 덕계동 588-14,경기도 양주시 회천2동,34223,76500,6,0.01
공동주택,경남 진주시 충무공동 78-2,경상남도 진주시 충무공동,32946,69709,9,0.02
