hd_nm,숙박업소수
독산제2동,1
득량면,1
등촌제1동,1
등촌제3동,1
마로면,1
만수1동,1
만수2동,1
효동,1
만수5동,1
만촌2동,1
도화2.3동,1
도곡1동,1
화북동,1
문현제4동,1
향동,1
보산동,1
대호지면,1
복산동,1
행신3동,1
행당제1동,1
봉강면,1
봉덕1동,1
봉덕2동,1
봉래제2동,1
해안동,1
부곡제1동,1
부곡제3동,1
부론면,1
부민동,1
갈현동,1
함열읍,1
한천면,1
한수면,1
대연제4동,1
북내면,1
대야면,1
북산면,1
북성동,1
보문면,1
대구면,1
미암면,1
현경면,1
덕풍2동,1
화곡제4동,1
반여제1동,1
반여제2동,1
홍제제2동,1
반포1동,1
방림면,1
방림면계촌출장소,1
방배1동,1
방촌동,1
방학제2동,1
백곡면,1
덕천제1동,1
호암.직동,1
덕진면,1
백운면,1
호계1동,1
백현동,1
범어4동,1
범천제2동,1
법전면,1
변동,1
현동,1
상도제4동,1
소이면,1
거제제2동,1
남목3동,1
오포읍,1
금천동,1
금지면,1
금정면,1
옥룡면,1
광명5동,1
제원면,1
광명6동,1
옥서면,1
옥성면,1
광석면,1
옥암동,1
옥정2동,1
광시면,1
금사면,1
옹동면,1
정릉제4동,1
왕정동,1
금광2동,1
금과면,1
용담.명암.산성동,1
점촌4동,1
궁류면,1
용암2동,1
용운동,1
금촌3동,1
금학동,1
광교2동,1
영남면,1
남목2동,1
연기면,1
과역면,1
낙월면,1
연산제1동,1
낙안면,1
연성동,1
연일읍,1
주엽2동,1
주엽1동,1
영귀미면,1
영등2동,1
금호4가동,1
주안3동,1
길안면,1
주상면,1
영선제2동,1
주례제3동,1
주례제2동,1
영운동,1
기성동,1
좌천동,1
좌제1동,1
기계면,1
용이동,1
용주면,1
용현1.4동,1
이천동,1
잠실3동,1
구미동,1
구문소동,1
작전1동,1
자인면,1
자월면,1
자양제2동,1
자양제1동,1
자양동,1
이로동,1
이산면,1
이태원제2동,1
응암제2동,1
구갈동,1
임동면,1
인계면,1
임고면,1
교현2동,1
일직면,1
일직동,1
인제읍귀둔출장소,1
인지면,1
인창동,1
일산1동,1
구산동,1
장군면,1
용호제3동,1
원미2동,1
적중면,1
적량면,1
우장산동,1
광적면,1
구항면,1
장항1동,1
장평면,1
구평동,1
웅치면,1
원당동,1
장전제1동,1
장위제2동,1
율목동,1
월계1동,1
장암면,1
장암동,1
구암동,1
광평동,1
월산5동,1
구암2동,1
위도면,1
장마면,1
구성면,1
율곡면,1
역촌동,1
엄정면,1
상암동,1
중2동,1
소보면,1
농소동,1
농소3동,1
일봉동,1
소태면,1
소하1동,1
농소2동,1
계양2동,1
송광면,1
송림1동,1
송산1동,1
송악면,1
송정1동,1
청천1동,1
청전동,1
송죽동,1
고군면,1
송촌동,1
고금면,1
고달면,1
송포동,1
송현1동,1
수내1동,1
수신면,1
순성면,1
농소면,1
세교동,1
계곡면,1
달산면,1
상월면,1
상패동,1
생초면,1
당진3동,1
서대신제3동,1
서도면,1
서면태하출장소,1
서삼면,1
서서학동,1
서초4동,1
탕정면,1
석성면,1
능동,1
석수1동,1
석포면,1
칠북면,1
칠금.금릉동,1
칠곡면,1
다인면,1
성내면,1
춘포면,1
성내제2동,1
성수면,1
경화동,1
청계동,1
고부면,1
시흥동,1
약사명동,1
지산1동,1
안심3동,1
지례면,1
지동,1
안심4동,1
남원동,1
안정면,1
증도면병풍출장소,1
암태면,1
남양면,1
약대동,1
공근면,1
지천면,1
약산면,1
남선면,1
양금동,1
남상면,1
중부동,1
남산4동,1
양재1동,1
중동면,1
양촌면,1
남산1동,1
양화면,1
지산2동,1
직산읍,1
철암동,1
신월1동,1
신길동,1
신내1동,1
신대방제2동,1
창제5동,1
신방동,1
신암1동,1
신암5동,1
신암면,1
고암면,1
신원면,1
차황면,1
내덕2동,1
쌍림면,1
진위면,1
내곡동,1
진성면,1
신평2동,1
남후면,1
고척제2동,1
신풍면,1
신현원창동,1
심원면,1
십정1동,1
쌍령동,1
동삼제1동,1
