field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y,숙박업소(관광지수),인구[명],상권밀집도(비율),교통량(AADT),adm_cd2,recommend1,recommend2,recommend3
2020,2020-01-10,주유소,휴업,신흥주유소,대구광역시 북구 동북로65-2 (산격동),정,대구광역시 북구 동북로 65-2 (산격동),2723011100105600001,128.60066028508243,35.902588093511675,2,8614.0,0.02,135921.0,2723062000.0,가설건축,자동차관련시설,근린생활시설
2020,2020-01-13,주유소,폐업,롯데마트(수지점)행복드림 주유소,경기도 용인시 기흥구 진산로116 (보정동),유,경기도 용인시 기흥구 진산로 124 (보정동),4146311800102660004,127.09893233663844,37.32087218255831,12,34556.0,0.02,48710.0,4146359000.0,판매시설,자동차관련시설,가설건축
2020,2020-03-04,주유소,휴업,지에스칼텍스(주)덕명주유소,대전광역시 유성구 현충원로283 (덕명동),정,대전광역시 유성구 현충원로 283 (덕명동),3020011300104990000,127.3025510471675,36.36068918722276,1,20595.0,0.03,75255.0,3020052600.0,업무시설,가설건축,공장
2020,2020-03-30,주유소,휴업,활주로주유소,대구광역시 달서구 성서로36길75 (월암동),정,대구광역시 달서구 성서로36길 75 (월암동),2729012100109980001,128.51566752260177,35.83318607740955,2,15996.0,0.05,111796.0,2729060200.0,자동차관련시설,업무시설,공장
2020,2020-01-15,주유소,폐업,(유)성심주유소,광주광역시 동구 무등로405 (계림동),정,광주광역시 동구 무등로 405 (계림동),2911010900105180022,126.92696871550908,35.15972042322122,2,13315.0,0.01,97671.0,2911057000.0,공동주택,판매시설,공장
2020,2020-03-17,주유소,휴업,마장주유소,경기도 파주시 보광로814 (광탄면),정,경기도 파주시 보광로 814 (광탄면),4148035023100070012,126.89279854815882,37.77305538001898,6,13740.0,0.05,4203.0,4148035000.0,가설건축,근린생활시설,기타
2020,2020-01-16,주유소,폐업,스타주유소,경기도 수원시 팔달구 정조로663 (매교동),유,경기도 수원시 팔달구 정조로 662 (매교동),4111513300101860009,127.0170031146412,37.267463685354016,18,22204.0,0.01,78521.0,4111565000.0,가설건축,판매시설,공동주택
2020,2020-03-16,주유소,폐업,(주)에스피씨삼립 가락주유소,경상남도 김해시 김해대로2427 (부원동),정,경상남도 김해시 김해대로 2427 (부원동),4825010300106260021,128.89234702785637,35.22765901136207,46,10168.0,0.05,81441.0,4825053000.0,가설건축,공동주택,기타
2020,2020-04-17,주유소,폐업,동전IC주유소,경상남도 창원시 의창구 무동로45 (북면),유,경상남도 창원시 의창구 무동로 87 (북면),4812131029103950003,128.59918248179284,35.31809922960352,2,42454.0,0.02,32858.0,4812131000.0,가설건축,자동차관련시설,판매시설
2020,2020-01-20,주유소,폐업,동남석유판매(주) 제1주유소,경기도 평택시 청원로1655 (도일동),유,경기도 평택시 청원로 1658 (도일동),4122010600107080003,127.10425587763068,37.04383139083037,2,23472.0,0.02,30758.0,4122053500.0,가설건축,자동차관련시설,근린생활시설
2020,2020-03-26,주유소,휴업,입장독정주유소,충청남도 천안시 서북구 망향로1237 (입장면),정,충청남도 천안시 서북구 망향로 1237 (입장면),4413331038101190009,127.2332590571644,36.91966236077083,3,10084.0,0.03,13399.0,4413331000.0,가설건축,자동차관련시설,공동주택
2020,2020-02-27,주유소,폐업,새봄주유소,충청북도 음성군 충청대로83 (원남면),유,충청북도 음성군 충청대로 100 (원남면),4377032030110060003,127.61861836247076,36.842521548581615,2,1832.0,0.04,13762.0,4377032000.0,가설건축,기타,공장
2020,2020-03-19,주유소,휴업,(주)해광에너지 아리랑주유소,경상남도 거제시 거제대로3916 (연초면),정,경상남도 거제시 거제대로 3916 (연초면),4831037030101560006,128.68310868919912,34.90414799755123,17,24506.0,0.01,22634.0,4831056000.0,가설건축,자동차관련시설,공장
2020,2020-04-14,주유소,휴업,얼음골주유소,경상남도 밀양시 산내로1115 (산내면),정,경상남도 밀양시 산내로 1115 (산내면),4827034028111560001,128.9522127783899,35.58916153268605,26,3452.0,0.04,5052.0,4827034000.0,기타,가설건축,공장
2020,2020-01-23,주유소,폐업,(주)다원,경기도 동두천시 평화로2708 (동두천동),유,경기도 동두천시 평화로 2709 (동두천동),4125010700102450102,127.0553498555749,37.92986961749239,7,9606.0,0.02,12031.0,4125058000.0,가설건축,판매시설,자동차관련시설
2020,2020-04-21,주유소,휴업,금련산주유소,부산광역시 수영구 수영로491 (남천동),정,부산광역시 수영구 수영로 491 (남천동),2650010500100400002,129.11050402516287,35.14978196627428,3,13254.0,0.02,48622.0,2650066000.0,판매시설,공동주택,가설건축
2020,2020-01-22,주유소,휴업,차세대주유소,울산광역시 중구 구교로170 (반구동),정,울산광역시 중구 구교로 170 (반구동),3111011800102620032,129.34074141911225,35.559612528840105,3,16124.0,0.02,6121.0,3111053000.0,판매시설,공동주택,공장
2020,2020-01-29,주유소,등록취소,견내량주유소,경상남도 거제시 거제남서로5391 (사등면),정,경상남도 거제시 거제남서로 5391 (사등면),4831036027100180012,128.48203698204097,34.88534670665807,5,11945.0,0.02,6277.0,4831036000.0,가설건축,기타,자동차관련시설
2020,2020-04-24,주유소,휴업,경춘주유소,강원도 춘천시 경춘로2039 (칠전동),정,강원특별자치도 춘천시 경춘로 2039 (칠전동),5111012600102270000,127.71351820326424,37.83653225531232,27,2486.0,0.04,11837.0,5111067500.0,가설건축,기타,근린생활시설
2020,2020-01-31,주유소,폐업,군내리주유소,여수시 돌산읍 돌산로 1286,정,전라남도 여수시 돌산로 1286 (돌산읍),4613025021111140007,127.7195204668184,34.61943033906578,26,12832.0,0.03,14076.0,4613025000.0,가설건축,판매시설,공장
2020,2020-02-21,주유소,휴업,태성주유소,대전광역시 중구 동서대로1459 (중촌동),정,대전광역시 중구 동서대로 1459 (중촌동),3014010400103900015,127.41685803928482,36.33780257659613,41,13549.0,0.02,98950.0,3014056000.0,판매시설,공동주택,가설건축
2020,2020-04-03,주유소,휴업,서재제일주유소,대구광역시 달성군 서재로39 (다사읍),정,대구광역시 달성군 서재로 39 (다사읍),2771025625101840000,128.4937925259445,35.86842165417836,5,92560.0,0.01,20853.0,2771025600.0,가설건축,자동차관련시설,공동주택
2020,2020-02-03,주유소,휴업,(주)바른에너지 공항주유소,광주광역시 광산구 상무대로435-2 (신촌동),정,광주광역시 광산구 상무대로 435-2 (신촌동),2920010400106820110,126.8135929389258,35.14451588087929,1,4182.0,0.02,101257.0,2920055000.0,가설건축,업무시설,자동차관련시설
2020,2020-04-07,주유소,폐업,현대오일뱅크(주) 기산주유소,충청남도 공주시 차령로867 (계룡면),정,충청남도 공주시 차령로 867 (계룡면),4415033021104990015,127.14416605406224,36.39411028203352,5,4989.0,0.03,17165.0,4415033000.0,가설건축,기타,공장
2020,2020-02-26,주유소,휴업,오산주유소,경상북도 청도군 헐티로1240 (각북면),정,경상북도 청도군 헐티로 1240 (각북면),4782033036107840004,128.56507865900178,35.71530322700766,2,2208.0,0.02,2782.0,4782033000.0,공장,기타,숙박시설
2020,2020-04-22,주유소,휴업,금성주유소,대전광역시 중구 동서대로1183 (태평동),정,대전광역시 중구 동서대로 1183 (태평동),3014011400104120009,127.39168399730016,36.32700810054142,1,14062.0,0.03,44361.0,3014069000.0,판매시설,공동주택,자동차관련시설
2020,2020-04-09,주유소,폐업,아이에이제이차유동화전문유한회사,경기도 동두천시 평화로3122 (하봉암동),정,경기도 동두천시 평화로 3122 (하봉암동),4125011000100700005,127.0666153195957,37.96488582072433,18,4389.0,0.02,24757.0,4125058000.0,가설건축,기타,근린생활시설
2020,2020-03-06,주유소,휴업,삼부주유소,대전광역시 서구 변동로114 (변동),정,대전광역시 서구 변동로 114 (변동),3017010200100430001,127.38512783194729,36.32331013567081,1,14062.0,0.03,44361.0,3017054000.0,가설건축,공동주택,판매시설
2020,2020-02-06,주유소,등록취소,번암주유소,전북 장수군 번암면 장수로 446,정,전북특별자치도 장수군 장수로 446 (번암면),5274032028111680003,127.54174174547433,35.52895178887571,3,2035.0,0.02,2833.0,5274032000.0,공장,기타,가설건축
2020,2020-02-06,주유소,휴업,신광주유소,울산광역시 울주군 연산3길50 (서생면),정,울산광역시 울주군 연산3길 50 (서생면),3171031022102280004,129.30266426549892,35.343902570826565,38,8170.0,0.03,18681.0,3171031000.0,가설건축,공동주택,업무시설
2020,2020-04-13,주유소,휴업,월촌주유소,경상남도 함안군 월촌1길7 (군북면),정,경상남도 함안군 월촌1길 7 (군북면),4873032032102460001,128.3131086762533,35.28565042779297,18,6577.0,0.04,80128.0,4873032000.0,가설건축,업무시설,기타
2020,2020-04-29,주유소,폐업,SK네트웍스(주) 한양주유소,경기도 안양시 동안구 경수대로669 (호계동),유,경기도 안양시 동안구 경수대로 657 (호계동),4117310400109330009,126.9532743198392,37.38064018936049,4,18410.0,0.02,149819.0,4117359000.0,가설건축,판매시설,업무시설
2020,2020-04-07,주유소,폐업,현대오일뱅크(주)직영 샘주유소,인천광역시 서구 가정로349 (신현동),정,인천광역시 서구 가정로 349 (신현동),2826010900102840002,126.6725424693682,37.51603434424924,1,29945.0,0.03,216843.0,2826057500.0,가설건축,업무시설,판매시설
2020,2020-02-11,주유소,폐업,삼영주유소,전라남도 곡성군 입면로99 (옥과면),정,전라남도 곡성군 입면로 99 (옥과면),4672037026106180001,127.15696584055608,35.28354971205427,1,4611.0,0.02,5868.0,4672037000.0,기타,공장,가설건축
2020,2020-04-13,주유소,폐업,복돌복주유소,경상남도 밀양시 삼랑6길59 (삼랑진읍),정,경상남도 밀양시 삼랑6길 59 (삼랑진읍),4827025024100560067,128.82639055212047,35.38562257523708,11,6992.0,0.02,10016.0,4827025000.0,가설건축,공동주택,자동차관련시설
2020,2020-02-10,주유소,휴업,그린주유소,경기도 평택시 삼남로529 (지산동),정,경기도 평택시 삼남로 529 (지산동),4122011000100740002,127.08965439330927,37.07181170698887,2,23472.0,0.02,15829.0,4122056000.0,가설건축,자동차관련시설,판매시설
2020,2020-03-13,주유소,폐업,동방주유소,경기도 화성시 효행로1350번길8 (반월동),정,경기도 화성시 효행로1350번길 8 (반월동),4159012000104520001,127.06533745679285,37.22771645777634,5,36612.0,0.02,30954.0,4159055000.0,자동차관련시설,판매시설,업무시설
2020,2020-02-10,주유소,폐업,매실주유소,충청북도 제천시 송학로406 (송학면),정,충청북도 제천시 송학로 406 (송학면),4315038024106070007,128.28364606869658,37.19019783364487,5,4588.0,0.03,34788.0,4315038000.0,가설건축,기타,공장
2020,2020-05-04,주유소,폐업,주안충원SELF주유소,인천광역시 미추홀구 한나루로523 (주안동),유,인천광역시 미추홀구 한나루로 524 (주안동),2817710500107150003,126.6686320673002,37.453347654306896,6,21689.0,0.01,110764.0,2817763000.0,공동주택,판매시설,공장
2020,2020-03-06,주유소,폐업,한결주유소,경기도 화성시 남양만로334 (우정읍),정,경기도 화성시 남양만로 334 (우정읍),4159025628112920000,126.79768768104866,37.01740679306337,3,14819.0,0.05,10471.0,4159025600.0,가설건축,기타,공장
2020,2020-04-16,주유소,폐업,하나로주유소,경기도 평택시 방여울로68 (가재동),유,경기도 평택시 방여울로 67 (가재동),4122010700100760003,127.09074799033992,37.0415933440412,2,23472.0,0.02,24083.0,4122053500.0,가설건축,공동주택,자동차관련시설
2020,2020-04-20,주유소,휴업,계림주유소,경기도 여주시 여양1로527 (대신면),정,경기도 여주시 여양1로 527 (대신면),4167035032101320001,127.5998200860066,37.41397767502778,7,6821.0,0.03,2737.0,4167035000.0,기타,근린생활시설,가설건축
2020,2020-04-28,주유소,폐업,광신리소스주식회사 월영주유소,경상남도 창원시 마산합포구 3·15대로70 (월남동2가),정,경상남도 창원시 마산합포구 3·15대로 70 (월남동2가),4812513000100090002,128.5612868674396,35.18596687575719,2,11073.0,0.02,27717.0,4812554000.0,공동주택,공장,판매시설
2020,2020-04-16,주유소,폐업,부광주유소,경상북도 안동시 충효로3469 (임하면),정,경상북도 안동시 충효로 3469 (임하면),4717038024112980092,128.81076375475592,36.5324002516785,9,2573.0,0.02,14027.0,4717037000.0,가설건축,기타,공장
2020,2020-02-20,주유소,휴업,럭키세븐주유소,경상북도 영천시 최무선로188 (성내동),정,경상북도 영천시 최무선로 188 (성내동),4723010900103480000,128.92121136781046,35.96265674212652,7,4576.0,0.04,10831.0,4723053500.0,공동주택,공장,기타
2020,2020-03-10,주유소,폐업,(주)동림에너지 제트주유소,충청북도 청주시 서원구 서부로1433 (개신동),유,충청북도 청주시 서원구 서부로 1434 (성화동),4311210800104580000,127.45701812922408,36.61952686389655,10,47463.0,0.01,38488.0,4311259000.0,가설건축,자동차관련시설,판매시설
2020,2020-02-20,주유소,폐업,고산주유소,경상북도 경산시 공단로173 (진량읍),정,경상북도 경산시 공단로 173 (진량읍),4729025344101100004,128.815959397662,35.84756470742041,4,44028.0,0.02,26933.0,4729025300.0,가설건축,자동차관련시설,판매시설
2020,2020-05-13,주유소,폐업,시종주유소,전라남도 영암군 마한로1265 (시종면),정,전라남도 영암군 마한로 1265 (시종면),4683034027109460004,126.6088946907012,34.86784683935656,1,3010.0,0.03,6239.0,4683034000.0,공동주택,공장,판매시설
2020,2020-03-30,주유소,폐업,삼미상사(주)주안제일Self주유소,인천광역시 미추홀구 경인로258 (도화동),유,인천광역시 미추홀구 경인로 256 (도화동),2817710400105340024,126.67003708662206,37.46289076437846,6,21608.0,0.02,110764.0,2817760000.0,업무시설,판매시설,공동주택
2020,2020-03-03,주유소,폐업,음성주유소,충청북도 음성군 충청대로1022 (원남면),유,충청북도 음성군 충청대로 1031 (원남면),4377032024100190000,127.68301086470072,36.90236713396175,14,16976.0,0.02,13187.0,4377032000.0,가설건축,판매시설,기타
2020,2020-04-28,주유소,폐업,동흥주유소,대구광역시 동구 신암로62 (신암동),정,대구광역시 동구 신암로 62 (신암동),2714010100112980055,128.60780957706038,35.8773812052815,9,17150.0,0.02,135921.0,2714052000.0,공동주택,판매시설,업무시설
2020,2020-04-23,주유소,폐업,도화IC주유소,인천광역시 미추홀구 송림로309 (도화동),정,인천광역시 미추홀구 송림로 309 (도화동),2817710400107540001,126.66747022439309,37.47616249298741,4,31905.0,0.02,110764.0,2817761000.0,판매시설,자동차관련시설,기타
2020,2020-04-07,주유소,등록취소,(주)씨쓰리비봉에너지,경기도 안성시 서동대로6617 (죽산면),정,경기도 안성시 서동대로 6617 (죽산면),4155040025105800000,127.3914108816722,37.07251790543455,4,5152.0,0.03,25125.0,4155040000.0,가설건축,기타,자동차관련시설
2020,2020-05-15,주유소,폐업,강변주유소,강원도 홍천군 홍천로1090 (화촌면),정,강원특별자치도 홍천군 홍천로 1090 (화촌면),5172031021100720007,127.93893052218657,37.73696466983681,29,4204.0,0.03,16424.0,5172031000.0,가설건축,공장,근린생활시설
2020,2020-05-01,주유소,휴업,사랑행복주유소,경상북도 영천시 천문로66 (도동),정,경상북도 영천시 천문로 66 (도동),4723011100102590003,128.92927139657954,35.94498107377384,7,4176.0,0.06,24087.0,4723055500.0,가설건축,자동차관련시설,업무시설
2020,2020-04-27,주유소,휴업,연무주유소,충청남도 논산시 동안로957 (연무읍),정,충청남도 논산시 동안로 957 (연무읍),4423025324106320027,127.10982635945604,36.13112057947138,23,13294.0,0.03,17620.0,4423025300.0,가설건축,공장,업무시설
2020,2020-03-11,주유소,휴업,오륙에너지(주),경기도 파주시 파주로723-22 (교하동),유,경기도 파주시 파주로 721 (교하동),4148010700100700039,126.76321994479508,37.74570716863053,2,31141.0,0.02,55923.0,4148054000.0,가설건축,업무시설,판매시설
2020,2020-03-30,주유소,휴업,캐슬주유소,대구광역시 서구 국채보상로317 (평리동),정,대구광역시 서구 국채보상로 317 (평리동),2717010300110520009,128.5657480675203,35.87229760040395,2,7292.0,0.01,156089.0,2717062000.0,업무시설,공동주택,가설건축
2020,2020-04-10,주유소,폐업,금정주유소,전라남도 영암군 영나로849 (금정면),정,전라남도 영암군 영나로 849 (금정면),4683032024110750001,126.75193424033404,34.86095207575642,1,1815.0,0.02,6962.0,4683032000.0,기타,공장,가설건축
2020,2020-03-09,주유소,폐업,대한통운주유소,광주광역시 북구 무등로195 (신안동),유,광주광역시 북구 무등로 192-1 (신안동),2917010600101210001,126.90453624307771,35.16516318786981,28,12894.0,0.03,97671.0,2917058000.0,판매시설,공동주택,자동차관련시설
2020,2020-05-21,주유소,폐업,연아주유소,강원도 원주시 북원로1833 (무실동),정,강원특별자치도 원주시 북원로 1833 (무실동),5113011500109460001,127.91594339596564,37.31269852145509,7,15011.0,0.02,23372.0,5113066000.0,가설건축,자동차관련시설,판매시설
2020,2020-05-01,주유소,폐업,승화주유소,대구광역시 서구 북비산로161 (평리동),정,대구광역시 서구 북비산로 161 (평리동),2717010300105640002,128.55071731436712,35.87912211099164,1,5634.0,0.02,156089.0,2717066100.0,업무시설,공동주택,가설건축
2020,2020-04-16,주유소,폐업,(주)대창석유직영 죽동주유소,전라남도 나주시 예향로3084 (세지면),정,전라남도 나주시 예향로 3084 (세지면),4617031026106440015,126.71146889291845,34.93380753695782,3,2195.0,0.04,16980.0,4617031000.0,가설건축,공장,기타
2020,2020-03-18,주유소,휴업,금강주유소,부산광역시 금정구 중앙대로1972 (남산동),정,부산광역시 금정구 중앙대로 1972 (남산동),2641010400100460003,129.0917018360485,35.26075347037685,2,30692.0,0.01,70579.0,2641067000.0,가설건축,판매시설,업무시설
2020,2020-05-13,주유소,폐업,용성주유소,울산광역시 남구 화합로24 (여천동),정,울산광역시 남구 화합로 24 (여천동),3114010700111140001,129.34338718373525,35.52726327685113,5,8939.0,0.05,23213.0,3114067000.0,가설건축,기타,공동주택
2020,2020-05-27,주유소,폐업,진례현대주유소,경상남도 김해시 고모로1 (진례면),정,경상남도 김해시 고모로 1 (진례면),4825033026102110000,128.7673479575435,35.228540514396215,3,8067.0,0.08,23978.0,4825033000.0,가설건축,기타,공동주택
2020,2020-05-07,주유소,폐업,원일주유소,경기도 광주시 문화로41 (역동),유,경기도 광주시 문화로 42 (역동),4161011200100010166,127.2548429106698,37.4073826007242,14,30179.0,0.03,16444.0,4161051000.0,가설건축,공동주택,업무시설
2020,2020-05-02,주유소,폐업,신도청주유소,경상북도 안동시 지풍로1787 (풍천면),정,경상북도 안동시 지풍로 1787 (풍천면),4717034031103240001,128.5328570658222,36.56983695460114,4,6897.0,0.03,2839.0,4717034000.0,가설건축,기타,근린생활시설
2020,2020-06-02,주유소,휴업,SK네트웍스(주) 스타팅광동주유소,경기도 성남시 분당구 대왕판교로644번길43 (삼평동),정,경기도 성남시 분당구 대왕판교로644번길 43 (삼평동),4113510900106750000,127.11146415179174,37.40011377030394,1,23144.0,0.04,232029.0,4113565500.0,업무시설,공장,근린생활시설
2020,2020-04-06,주유소,휴업,대원주유소,강원도 화천군 포화로1022 (사내면),정,강원특별자치도 화천군 포화로 1022 (사내면),5179034021108700001,127.51471687332815,38.0605790354385,20,5684.0,0.03,3773.0,5179034000.0,가설건축,근린생활시설,기타
2020,2020-03-20,주유소,폐업,대박주유소,충청북도 옥천군 이원로343 (이원면),정,충청북도 옥천군 이원로 343 (이원면),4373036026105900003,127.63023188676854,36.20368271695267,22,3729.0,0.03,8125.0,4373036000.0,가설건축,근린생활시설,기타
2020,2020-04-20,주유소,폐업,에이치이판매(주)직영 금샘주유소,부산광역시 사하구 다대로532 (다대동),정,부산광역시 사하구 다대로 532 (다대동),2638010600111610001,128.971647474566,35.058924856476665,11,36823.0,0.02,134118.0,2638060100.0,판매시설,가설건축,공동주택
2020,2020-05-13,주유소,폐업,현대주유소,전라남도 진도군 정거름재길168 (군내면),정,전라남도 진도군 정거름재길 168 (군내면),4690031029102650001,126.2913624742082,34.49090065395804,16,2765.0,0.03,8946.0,4690031000.0,가설건축,근린생활시설,기타
2020,2020-05-29,주유소,휴업,SK전당앞주유소,서울특별시 서초구 남부순환로2391 (서초동),정,서울특별시 서초구 남부순환로 2391 (서초동),1165010800114640017,127.01193864755426,37.48056625810343,14,30140.0,0.08,203917.0,1165053000.0,가설건축,판매시설,기타
2020,2020-05-21,주유소,휴업,장흥주유소,경기도 양주시 일영로746 (장흥면),정,경기도 양주시 일영로 746 (장흥면),4163034025102010002,126.93403454620568,37.70851551970509,61,12821.0,0.03,6312.0,4163034000.0,가설건축,기타,업무시설
2020,2020-04-22,주유소,휴업,신매주유소,강원도 춘천시 박사로1266 (서면),정,강원특별자치도 춘천시 박사로 1266 (서면),5111035023108190002,127.71074664182608,37.92167647661024,5,25236.0,0.01,9421.0,5111035000.0,가설건축,자동차관련시설,판매시설
2020,2020-03-30,주유소,등록취소,굿오일 대원주유소,경상북도 경주시 금성로225 (사정동),정,경상북도 경주시 금성로 225 (사정동),4713010900100510004,129.20692393875146,35.83758337135057,1,3845.0,0.06,25475.0,4713057000.0,숙박시설,기타,근린생활시설
2020,2020-04-10,주유소,휴업,이동교주유소,경기도 포천시 호국로346 (소흘읍),정,경기도 포천시 호국로 346 (소흘읍),4165025022103580001,127.1316978186003,37.80410134570187,52,44996.0,0.03,27285.0,4165025000.0,가설건축,판매시설,자동차관련시설
2020,2020-06-02,주유소,폐업,조화주유소,전라남도 여수시 율촌면 조화리 561번지,정,전라남도 여수시 율촌면 조화리 561,4613032021105610000,127.5876012946238,34.871225312556454,5,5614.0,0.03,51436.0,4613032000.0,가설건축,판매시설,업무시설
2020,2020-03-26,주유소,휴업,성민주유소,경상북도 구미시 산업로126 (원평동),유,경상북도 구미시 산업로 121 (원평동),4719010100101930001,128.33620341136032,36.13177152832039,2,5702.0,0.11,81863.0,4719053500.0,가설건축,기타,업무시설
