hd_nm,숙박업소수,lat,lon
중앙동,1031,37.4841881538496,126.949789748223
남면,245,37.8981269123829,126.97671505489
대천5동,237,36.3170192324943,126.515216651314
북면,227,37.8881266033117,127.549275493771
애월읍,197,33.4621910539136,126.328972924341
서면,176,36.1529530300702,126.549520993675
영흥면,159,37.2559012375489,126.483321517933
황오동,155,35.8415891036536,129.217963372889
원평동,154,36.9892773148455,127.080400630556
송정동,151,37.5545322586259,127.069569072089
가평읍,150,37.8253637998686,127.51653874145
의정부1동,144,37.7322814632719,127.049138518109
연동,144,36.5552990017923,127.327345245798
종로1.2.3.4가동,136,37.5744355396605,126.990287260844
상면,135,37.80471517536,127.356786438653
설천면,130,36.0081773310552,127.789619970763
민락동,129,37.7403538413428,127.096358976229
용유동,122,37.4438906327653,126.402431788746
강현면,117,38.1499826978456,128.607652116524
매산동,117,37.3561632431133,127.263198103317
돌산읍우두출장소,116,,
청평면,106,37.7404626327353,127.424141651948
삼산동,104,37.5171021494125,126.740015740398
울릉읍,104,37.4850099411885,130.903667789132
명동,103,37.5583576447484,126.985241620075
안면읍,100,36.5205361060362,126.344511519837
괘법동,99,35.1637613818616,128.987191072181
중제1동,98,35.1625326507826,129.164231561405
안덕면,96,36.2889433818906,128.959974416562
인계동,95,37.2680282557077,127.030169699689
우제1동,94,35.162890635518,129.158109075137
충무동,89,34.7427334122646,127.731073366721
서신면,89,37.1665728218833,126.708732190777
온천1동,89,36.787119462153,126.999498090973
영등포동,87,37.5134118222973,126.906168599588
오동동,86,36.6913507402524,127.473592771243
신안동,86,37.2840915640961,127.012674868847
성산읍,85,33.4422319176823,126.911008568553
부전제2동,83,35.1525819388075,129.056791426214
변산면,82,35.6634889289626,126.528462533106
광희동,81,37.5644311770076,127.005052665365
심곡2동,79,37.4873910918128,126.787047461889
우산동,78,37.3714829095559,127.940063693835
우아2동,77,35.837733073818,127.16704285081
조종면,77,37.8175158053297,127.353241002492
경포동,76,37.7837421724456,128.880646600214
주안1동,75,37.4618867020531,126.68180575715
인화동,74,35.9294686234136,126.953627895067
대흥동,74,37.5498936438386,126.943403941965
토성면,72,38.257289697991,128.558906495609
현남면,72,37.9692314024179,128.759480350041
성북동,72,37.5910466093958,127.003274531869
상남동,71,35.2133702442787,128.573981518795
교2동,71,37.7679227366824,128.892388218501
설악면,70,37.675800962675,127.494710840944
대원1동,69,37.1386482302621,127.071757056244
부전제1동,68,35.1635064656059,129.063005554801
봉평면,67,37.6161929793163,128.379492494281
조천읍,67,33.5344013008286,126.634132237491
한림읍,66,33.4105783903133,126.266790495497
대관령면,65,37.6736318231798,128.706141784901
신흥동,64,37.4431149209874,127.141137377657
온천제1동,64,35.2200984550671,129.080101068972
원북면,63,36.8234925898819,126.257125053878
대포동,63,37.2099434833441,127.459240269813
용전동,63,36.3577370465826,127.432394996182
상북면,62,35.4183556867407,129.064363371184
중리동,62,36.9752113795268,127.282208153082
금암동,62,37.1728363974498,127.045940876879
장흥면,61,37.7178722789736,126.941144103763
부원동,61,36.4502038878809,128.152367408726
합성2동,61,35.239021840959,128.586767042971
쌍봉동,60,34.7635134286984,127.665501856707
삼산면,60,37.704947426536,126.32040974097
수택1동,59,37.6003893095793,127.141914085327
치평동,59,35.1499115711346,126.843338672019
부평5동,59,37.4989573464571,126.730977360585
충장동,59,35.1492133889208,126.917785085987
신촌동,58,37.5651616940517,126.93927687604
남포동,58,35.4675198029207,128.788320441461
행궁동,57,37.2840915640961,127.012674868847
담양읍,57,35.3204168100539,126.981845552341
기장읍,57,35.2387101064303,129.215856260425
천지동,57,33.2478169929893,126.561281643722
강동면,57,37.7280943167627,128.954226402687
성남동,56,37.4353291482243,127.138944267643
회현동,56,37.5572755681352,126.979370256256
한려동,56,34.7449204717694,127.747363762586
광안제2동,56,35.1557386663377,129.113788434073
완도읍,55,34.3167363256863,126.745538365407
근흥면,55,36.7136334038549,126.228049810552
소원면,55,36.7625575970509,126.197267469025
불국동,54,35.7752856977405,129.300647520194
신림동,54,37.4894520674165,126.926185482384
신당동,54,37.5620157313143,127.014442188261
대정읍,54,33.2266781347046,126.251842356115
상대동,53,36.3468039903396,127.334691588011
목원동,53,34.7929009833563,126.382789429409
옥천동,52,37.569559807873,126.95890126611
소흘읍,52,37.8233192010335,127.138600788633
예산읍,51,36.6787124218355,126.846237861032
신평동,51,37.6239947341864,126.782131832295
덕산면,51,36.912025983545,128.164408023592
중구동,50,36.5647241325411,128.737707025469
안양1동,50,37.3991449928982,126.925867569633
고현동,50,37.1339715408823,127.080458931383
가경동,50,36.6288623975897,127.433046117468
옥련1동,49,37.4273607302004,126.655094387345
반포면,49,36.3969104717602,127.250273653201
동명동,49,38.2126946964894,128.595718509916
부평1동,49,37.4942717667343,126.719966543878
동서금동,48,34.9300804026945,128.08430501849
온양1동,48,36.787119462153,126.999498090973
탄현면,48,37.8025424016272,126.716245034905
태안읍,47,36.7576735242424,126.296315451208
강구면,47,36.3618079391739,129.378593083085
남항동,47,35.0899428667103,129.037626301725
노형동,46,33.4830787814699,126.477191625107
묵호동,46,37.5586754265223,129.114239769923
신정3동,46,37.5151186039402,126.854799875203
손양면,46,38.0605654654139,128.641095471494
초당동,46,37.7918714159225,128.915965886695
남산면,46,37.79186457822,127.646194579037
삼도1동,46,33.5041154033509,126.517362400658
인동동,46,36.1040814905602,128.429300845645
활천동,46,35.2289059830973,128.899839569841
신천4동,45,35.871749274652,128.62930603461
주문진읍,45,37.894000235204,128.823428734257
암남동,45,35.0799230863601,129.020968156487
부춘동,45,36.7861420278261,126.448124620653
운서동,45,37.4933298817888,126.48834389365
구좌읍,45,33.5225267070188,126.852053599141
성내2동,45,37.5359945895602,127.128269010821
대교동,45,36.2109112680839,127.088520172956
신흥1동,44,37.4430427968348,127.141173403387
대이동,44,36.0172293224392,129.34298805666
소룡동,43,35.9737985939986,126.68380921463
영화동,43,37.2931846908545,127.014029745892
초량제2동,43,35.1165205379732,129.038467944697
죽도동,43,36.0311497498972,129.36326916046
우아1동,43,35.8498561266479,127.15955839816
삼도2동,43,33.5117364098811,126.522210779322
역삼1동,42,37.4954279212043,127.033201088112
사북읍,42,37.2277245267372,128.821814063945
조치원읍,42,36.604591645707,127.298444484667
송산동,42,37.2128949391582,127.00934174173
을지로동,42,37.5665933374822,126.991062500268
현북면,42,38.0190056461486,128.723115872388
중마동,42,34.9406765748839,127.697373408968
무전동,42,34.8589635944091,128.429046283282
음봉면,41,36.8497784176223,127.012244009139
은행선화동,41,36.3324194888785,127.416657701429
도사동,41,34.9252336911575,127.493733712423
용문면,41,37.4889036515229,127.599161344743
죽왕면,41,38.3287596789233,128.525205848883
속리산면,41,36.5121159593931,127.810350567255
고창읍,41,35.4344530435265,126.703032405916
홍천읍,41,37.68943404802,127.884306327398
화도면,41,37.631674841393,126.419836724037
대천1동,41,36.3575019503494,126.608134100698
영서동,40,37.1328082867613,128.201781635547
문성동,40,36.8109941683622,127.150238368756
숭인제2동,40,37.5748775396923,127.01996896628
봉방동,40,36.9736601560483,127.919281720775
성정2동,40,36.8237080244835,127.137489843968
고한읍,40,37.2042701836793,128.851646873504
화곡제1동,40,37.5303934432113,126.841601310694
만호동,40,34.784931327094,126.384666821074
수진1동,39,37.4385655182191,127.139009009323
단양읍,39,36.9865888752015,128.368105855161
석남1동,39,37.5105090759747,126.672777277744
풍남동,39,35.8170505940996,127.148095344105
광양읍,39,34.9733957674245,127.581009833264
조곡동,39,34.9500812828914,127.498559431746
동문2동,39,36.7777875303449,126.46002260717
장유2동,38,35.1971033599817,128.797742392563
서생면,38,35.3499614459463,129.325929218322
