연도,도로종류,지점번호,호선,구간,차로,도/시,시/군,읍/면,동/리,구분, AADT ,XCODE,YCODE
2024,1,15302-1,153,마도JCT-송산마도IC,4,경기,화성,마도,석교,수시," 73,122 ",37.19703,126.76879
2024,1,40011,400.3,남봉담IC-화성JCT,4,경기,화성,봉담,분천,수시," 17,247 ",37.1981,126.9536
2024,5,70-04   ,70,일죽면-모가면,2,경기,이천,모가,신갈,수시," 9,003 ",37.19812,127.44619
2024,5,84-09   ,84,가남면-점동면,2,경기,여주,가남,금당,수시," 2,229 ",37.19817,127.6178
2024,1,03528,35,남이천IC-호법JCT,4,경기,이천,호법,송갈,수시," 78,891 ",37.19843,127.44348
2024,2,4302-003,43,팔탄면-안녕동,4,경기,화성, ,안녕,상시," 61,775 ",37.19991,126.9889
2024,2,0721-001,7,근남면-삼척시,4,강원,삼척,원덕,노곡,수시," 10,028 ",37.19992,129.33622
2024,1,04511,45,감곡IC-여주JCT,4,충북,음성,감곡,상우,수시," 82,296 ",37.19998,127.61191
2024,3,0333-09 ,333,금당리-가남면,2,경기,여주,가남,대신,수시," 5,428 ",37.20047,127.5427
2024,1,01524-1,15,팔탄JCT-비봉IC,6,경기,화성,비봉,자안,수시," 110,903 ",37.20152,126.87074
2024,1,40022,400.4,동탄JCT-동탄IC,4,경기,화성, ,중,수시," 49,869 ",37.20219,127.13121
2024,5,57-06   ,57,호동-마평동,2,경기,용인, ,운학,수시," 9,202 ",37.20258,127.24468
2024,3,0322-06 ,322,비봉면-봉담면,2,경기,화성,봉담,상기,수시," 13,179 ",37.2028,126.93238
2024,3,0333-10 ,333,가남면-여주시,2,경기,여주,가남,심석,수시," 12,974 ",37.20412,127.55206
2024,2,3815-000,38,남면-태백시,4,강원,태백, ,화전,수시," 10,702 ",37.20461,128.95179
2024,5,84-02   ,84,가남면-점동면,2,경기,여주,가남,심석,수시," 3,299 ",37.20471,127.65136
2024,2,3812-000,38,석항리-문정리,4,강원,정선,신동,천포,수시," 13,129 ",37.20472,128.63282
2024,5,84-05   ,84,안녕리-진안리,4,경기,화성, ,송산,수시," 25,487 ",37.20541,127.02108
2024,3,0322-05 ,322,송산면-북양동,4,경기,화성,마도,석교,수시," 30,778 ",37.20709,126.77277
2024,2,4506-003,45,송전리-용인시,4,경기,용인,이동,천,수시," 71,471 ",37.20829,127.20407
2024,3,0321-06 ,321,이동면-용인시,2,경기,용인,이동,서,수시," 15,383 ",37.20832,127.1717
2024,3,0305-04 ,305,서신면-송산면,4,경기,화성,송산,사강,수시," 31,964 ",37.20873,126.73
2024,1,40012,400.3,남비봉팔탄IC-남봉담IC,4,경기,화성,봉담,상기,수시," 42,243 ",37.20931,126.91874
2024,3,0421-01 ,421,예미리-조동리,2,강원,정선,신동,예미,수시," 3,828 ",37.21148,128.64562
2024,2,3124-003,31,영월읍-평창읍,2,강원,영월,북,문곡,수시," 2,916 ",37.21175,128.42031
2024,2,3814-001,38,남면-태백시,4,강원,정선,고한,고한,수시," 7,997 ",37.21191,128.8361
2024,2,3813-001,38,석항리-문정리,4,강원,정선,신동,예미,상시," 12,848 ",37.21543,128.64197
2024,2,0329-002,3,장호원읍-이천시,4,경기,여주,가남,신해,수시," 26,957 ",37.21876,127.52924
2024,2,1727-000,17,죽산면-양지면,4,경기,용인,양지,평창,수시," 41,151 ",37.22076,127.31423
2024,1,01706,17,화성JCT-봉담IC,4,경기,화성,봉담,와우,수시," 102,892 ",37.22077,126.96171
2024,3,0313-08 ,313,북양동-비봉면,4,경기,화성, ,북양,수시," 48,486 ",37.22203,126.83891
2024,3,0337-05 ,337,구시리-사동리,2,경기,이천,대월,초지,수시," 8,876 ",37.22321,127.49743
2024,2,0136-000,1,오산시-수원시,6,경기,화성, ,반정,수시," 78,521 ",37.22382,127.02634
2024,3,0318-04 ,318,반월리-기흥IC,4,경기,용인,기흥,농서,수시," 53,568 ",37.22553,127.07773
2024,5,28-04   ,28,사북읍-추동리,2,강원,정선,사북,사북,수시," 4,931 ",37.22598,128.82574
2024,2,0525-000,5,봉양읍-원주시,2,강원,원주,신림,신림,수시," 6,627 ",37.22618,128.08376
2024,5,84-07   ,84,봉담읍-안녕리,4,경기,화성,봉담,동화,수시," 33,290 ",37.22813,126.97138
2024,2,4206-001,42,용인시-양지리,5,경기,용인,처인,마평,상시," 52,089 ",37.23051,127.2361
2024,3,0311-03 ,311,동탄면-하갈동,4,경기,용인,기흥,서천,수시," 63,840 ",37.2319,127.09075
2024,5,70-05   ,70,모가면-부발면,2,경기,이천, ,단월,수시," 17,442 ",37.23208,127.44857
2024,2,7723-000,77,내기리-이화리,4,경기,화성,남양,송림,수시," 28,783 ",37.23256,126.82403
2024,2,3717-002,37,왕장리-점봉동,4,경기,여주, ,삼교,수시," 15,304 ",37.23405,127.65799
2024,2,3515-000,35,태백시-임계면,2,강원,태백, ,창죽,수시," 2,341 ",37.23416,128.98671
2024,2,3907-001,39,팔탄면-사사동,4,경기,화성,비봉,구포,상시," 43,976 ",37.23589,126.88236
2024,2,4205-001,42,수원시-용인시,4,경기,용인,처인,삼가 ,상시," 68,277 ",37.23653,127.166
2024,3,0341-03 ,341,가남면-번도리,2,경기,여주,가남,오산,수시," 2,324 ",37.23667,127.55754
2024,2,4206-002,42,양지리-이천시,4,경기,용인,양지,제일,상시," 31,961 ",37.2375,127.3107
2024,3,0315-08 ,315,태안읍-기흥구,6,경기,수원,영통,영통,수시," 30,954 ",37.23777,127.058
2024,1,40021,400.4,동탄IC-서용인IC,4,경기,용인,처인,삼가,수시," 42,454 ",37.23803,127.15217
2024,3,0313-09 ,313,비봉면-매송면,4,경기,화성,비봉,구포,수시," 44,389 ",37.23948,126.88033
2024,1,04512,45,여주JCT-남여주IC,4,경기,여주,가남,본두,수시," 28,063 ",37.23995,127.5876
2024,1,05018-1,50,여주JCT-여주IC,4,경기,여주,가남,본두,수시," 55,610 ",37.24002,127.61529
2024,1,05018,50,이천IC-여주JCT,8,경기,이천,대월,사동,수시," 123,750 ",37.24003,127.54935
2024,1,05016,50,덕평IC-호법JCT,8,경기,이천,마장,각평,수시," 126,031 ",37.24016,127.40866
2024,3,0309-03 ,309,봉담읍-천천IC,4,경기,화성,봉담,수영,수시," 78,369 ",37.24108,126.95128
2024,1,00135,1,기흥동탄IC-수원신갈IC,8,경기,용인,기흥,고매,수시," 213,581 ",37.24147,127.10498
2024,3,0317-03 ,317,오산시-기흥구,6,경기,용인,기흥,하갈,수시," 35,529 ",37.2423,127.10308
2024,3,0337-04 ,337,사동리-부발읍,4,경기,이천,부발,가산,수시," 5,327 ",37.24282,127.51137
2024,5,98-14   ,98,천천리-야목리,4,경기,화성,매송,천천,수시," 48,072 ",37.24371,126.94908
2024,1,15303,153,송산마도IC-남안산JCT,4,경기,화성,송산,고정,수시," 78,247 ",37.24436,126.75675
2024,1,05017,50,호법JCT-이천IC,8,경기,이천,호법,안평,수시," 141,437 ",37.24512,127.47436
2024,2,0526-001,5,봉양읍-원주시,2,강원,원주,신림,금창,수시," 10,047 ",37.24572,128.05993
2024,1,05014,50,용인IC-양지IC,8,경기,용인,처인,유방,수시," 147,733 ",37.24579,127.25661
2024,2,3125-001,31,영월읍-평창읍,2,강원,영월,북,문곡,수시," 5,172 ",37.2477,128.42696
2024,5,88-06   ,88,신림리-황둔리,2,강원,원주,신림,황둔,수시," 3,662 ",37.25007,128.14222
2024,1,03529,35,호법JCT-마장JCT,8,경기,이천,호법,안평,수시," 85,843 ",37.25015,127.41988
2024,3,0404-01 ,404,문막읍-귀래면,2,강원,원주,문막,비두,수시," 2,044 ",37.25095,127.83566
2024,2,3814-000,38,남면-태백시,4,강원,정선,남,무릉,상시," 15,410 ",37.25108,128.7796
2024,1,05015,50,양지IC-덕평IC,8,경기,용인,양지,양지,수시," 128,493 ",37.2517,127.34276
2024,3,0415-03 ,415,북면-미탄면,2,강원,영월,북,문곡,수시," 2,847 ",37.2522,128.43239
2024,3,0315-07 ,315,태안읍-기흥구,4,경기,용인,기흥,하갈,수시," 57,560 ",37.25428,127.09244
2024,2,4206-004,42,양지리-이천시,4,경기,이천,마장,이치,수시," 29,319 ",37.25444,127.38111
2024,1,01706-1,17.2,봉담IC-금곡IC,4,경기,화성,매송,천천,수시," 45,241 ",37.25474,126.9492
2024,3,0424-10 ,424,역둔리-원동,2,강원,태백, ,원,수시," 1,414 ",37.25559,128.98349
2024,2,3813-002,38,남면-태백시,4,강원,정선,남,무릉,수시," 14,052 ",37.25574,128.77614
2024,2,3908-001,39,팔탄면-사사동,4,경기,화성,매송,야목,수시," 51,938 ",37.25796,126.90157
2024,3,0309-04 ,309,천천IC-서수원IC,6,경기,수원,권선,호매실,수시," 127,525 ",37.26186,126.94832
2024,5,98-13   ,98,곤지암-용인시,2,경기,용인,양지,대대,수시," 5,393 ",37.26209,127.26511
2024,1,05013-1,50,서용인JCT-용인IC,10,경기,용인,처인,유방,수시," 163,573 ",37.26252,127.19714
2024,1,01525,15,비봉IC-매송IC,8,경기,화성,비봉,구포,수시," 124,973 ",37.2627,126.88856
2024,5,82-15   ,82,제천시-주천면,2,강원,영월,주천,신일,수시," 2,887 ",37.26301,128.26213
2024,3,0411-01 ,411,신림면-안흥면,2,강원,원주,신림,송계,수시," 17,661 ",37.2634,128.1928
2024,5,23-06   ,23,기흥IC-기흥구,4,경기,용인,기흥,상갈,수시," 66,326 ",37.26375,127.10503
2024,5,88-19   ,88,황둔리-주천면,2,강원,영월,주천,신일,수시," 3,109 ",37.26472,128.26172
2024,2,0328-003,3,장호원읍-이천시,4,경기,이천,부발,수정,수시," 19,805 ",37.26623,127.52432
2024,5,88-07   ,88,주천면-남면,2,강원,영월,주천,주천,수시," 3,477 ",37.26636,128.28317
2024,1,40020,400.4,서용인IC-서용인JCT,4,경기,용인,포곡,마성,수시," 56,586 ",37.2665,127.18274
2024,1,03701,37,마장JCT-경기광주JCT,4,경기,이천,마장,표교,수시," 48,626 ",37.26952,127.40067
2024,1,05013,50,마성IC-서용인JCT,10,경기,용인,포곡,마성,수시," 144,789 ",37.27082,127.18363
2024,1,03530,35,마장JCT-서이천IC,4,경기,이천,마장,표교,상시," 40,804 ",37.27221,127.39672
2024,2,4208-002,42,여주시-원주시,4,경기,여주,강천,부평,수시," 20,849 ",37.27319,127.73893
2024,2,3125-002,31,영월읍-평창읍,2,강원,영월,북,연덕,수시," 1,752 ",37.27384,128.41733
2024,5,49-24   ,49,부론면-문막읍,4,강원,원주,문막,후용,수시," 6,161 ",37.27389,127.79773
2024,1,00136,1,수원신갈IC-신갈JCT,10,경기,용인,기흥,보라,상시," 239,871 ",37.2739,127.10373
2024,1,40019,400.4,서용인JCT-포곡IC,4,경기,용인,포곡,영문,수시," 27,851 ",37.27458,127.20248
2024,2,0526-000,5,봉양읍-원주시,2,강원,원주,판부,금대,수시," 9,744 ",37.27551,128.00771
2024,2,4507-002,45,용인시-오포면,4,경기,용인,포곡,둔전,수시," 41,062 ",37.27609,127.21785
2024,1,05019,50,여주IC-문막IC,4,경기,여주, ,점봉,수시," 46,076 ",37.2767,127.80709
2024,1,17111,171.2,흥덕IC-광교상현IC,6,경기,용인,기흥,영덕,수시," 81,412 ",37.27942,127.07708
2024,2,3718-000,37,점봉동-여주시,4,경기,여주, ,교동,수시," 35,957 ",37.28055,127.6367
2024,3,0424-09 ,424,몰운리-백전리,2,강원,정선,화암,호촌,수시, 368 ,37.28164,128.8691
2024,1,04512-1,45,남여주IC-서여주IC,4,경기,여주,세종대왕,구양,수시," 22,440 ",37.28266,127.57915
2024,2,4208-003,42,여주시-원주시,4,경기,여주, ,연양,수시," 21,400 ",37.28368,127.67507
2024,1,40018,400.4,포곡IC-도척IC,4,경기,광주,도척,유정,수시," 25,695 ",37.28515,127.32177
2024,3,0333-11 ,333,가남면-여주시,4,경기,여주, ,월송,수시," 24,466 ",37.28566,127.61773
2024,2,5914-000,59,문곡리-정선읍,2,강원,정선,남,유평,상시," 4,423 ",37.28611,128.73758
2024,2,1924-001,19,귀래면-관설동,4,강원,원주,흥업,매지,상시," 23,372 ",37.28643,127.91342
2024,1,05012,50,신갈JCT-마성IC,10,경기,용인,기흥,신갈,수시," 148,328 ",37.2886,127.13769
2024,3,0301-12 ,301,단원구-대부북동,4,경기,안산,단원,대부북,수시," 23,279 ",37.28894,126.57725
2024,1,03531,35,서이천IC-곤지암JCT,4,경기,이천,신둔,고척,수시," 51,959 ",37.28996,127.3788
2024,1,40017,400.4,도척IC-곤지암JC,4,경기,광주,도척,유정,수시," 18,724 ",37.29001,127.3328
2024,1,01707,17.2,금곡IC-동안산·당수IC,4,경기,수원,권선,당수,수시," 71,934 ",37.2922,126.94756
2024,5,98-18   ,98,곤지암리-유정리,2,경기,광주,도척,유정,수시," 15,949 ",37.29228,127.32653
2024,1,05011,50,동수원IC-신갈JCT,10,경기,수원,영통,이의,수시," 168,412 ",37.29241,127.08311
2024,3,0345-03 ,345,상동-점동면,4,경기,여주, ,상,수시," 14,346 ",37.2936,127.64853
2024,2,4207-001,42,이천시-여주시,4,경기,이천,부발,고백,수시," 35,290 ",37.29476,127.5392
2024,1,05521,55,신림IC-남원주IC,4,강원,원주,신림,신림,수시," 36,457 ",37.29655,127.98536
2024,3,0341-04 ,341,가남면-번도리,2,경기,여주,세종대왕,신지,수시," 3,208 ",37.29655,127.57136
2024,2,4209-000,42,여주시-원주시,4,강원,원주,문막,반계,수시," 12,632 ",37.29659,127.79173
2024,2,4203-002,42,사사동-수원시,8,경기,안산,상록,사사,수시," 106,670 ",37.29667,126.92954
2024,2,4207-000,42,이천시-여주시,4,경기,여주,세종대왕,번도,수시," 31,794 ",37.29776,127.60231
2024,3,0325-09 ,325,마장면-도척면,2,경기,광주,도척,유정,수시," 12,738 ",37.29944,127.33136
2024,5,70-06   ,70,이천시-흥천면,4,경기,이천,백사,모전,수시," 22,051 ",37.29946,127.45952
2024,2,4507-000,45,용인시-오포면,4,경기,용인,포곡,삼계,수시," 40,037 ",37.30181,127.23477
2024,3,0337-07 ,337,신둔면-용면리,2,경기,이천,신둔,마교,수시," 7,130 ",37.30203,127.40243
2024,2,3909-000,39,사사동-성포동,8,경기,안산,상록,팔곡일,수시," 96,422 ",37.30237,126.88094
2024,3,0333-12 ,333,왕대리-금사면,2,경기,여주,세종대왕,왕대,수시," 4,155 ",37.30267,127.61483
2024,2,1925-000,19,귀래면-관설동,4,강원,원주,판부,서곡,수시," 17,545 ",37.30361,127.94311
2024,3,0337-06 ,337,부발읍-신둔면,4,경기,이천,신둔,수광,수시," 19,876 ",37.30408,127.40716
2024,2,3818-000,38,태백시-동해시,4,강원,삼척,신기,마차,상시," 8,905 ",37.30412,129.07044
2024,2,0328-001,3,이천시-곤지암읍,4,경기,이천,백사,우곡,수시," 34,550 ",37.30497,127.50189
