행정구역,순위,2023년 수(명),비율(%),lat,lon
대전광역시 서구 관저2동,74.0,48215.0,0.09,36.2992778999259,127.335205402219
충청북도 청주시 청원구 율량·사천동,75.0,48080.0,0.09,36.6660282020756,127.48900350385
서울특별시 금천구 독산1동,76.0,48069.0,0.09,37.4702207575196,126.897043384219
경기도 오산시 대원1동,77.0,47912.0,0.09,37.1386482302621,127.071757056244
경기도 김포시 운양동,78.0,47867.0,0.09,37.6513367527862,126.683097821946
울산광역시 남구 삼산동,79.0,47809.0,0.09,35.5444169723478,129.331864527423
경상북도 구미시 양포동,80.0,47654.0,0.09,36.1369565615245,128.425817683388
경상북도 구미시 인동동,81.0,47586.0,0.09,36.1040814905602,128.429300845645
충청북도 청주시 서원구 성화·개신·죽림동,82.0,47463.0,0.09,36.6170695018452,127.453101595703
충청남도 아산시 탕정면,83.0,47364.0,0.09,36.7984865787093,127.061219535209
경기도 김포시 고촌읍,84.0,46560.0,0.09,37.6034632885763,126.770844490829
전라남도 광양시 광양읍,85.0,46552.0,0.09,34.9733957674245,127.581009833264
인천광역시 서구 청라2동,86.0,46324.0,0.09,37.5326557640966,126.644160618855
대구광역시 달성군 화원읍,87.0,46320.0,0.09,35.7978288311981,128.489663846137
서울특별시 동작구 상도1동,88.0,46296.0,0.09,37.5032426328398,126.94974984805
강원특별자치도 춘천시 퇴계동,89.0,46293.0,0.09,37.8623581033746,127.729434261646
경기도 수원시 팔달구 인계동,90.0,46269.0,0.09,37.2680282557077,127.030169699689
경기도 파주시 운정1동,91.0,46133.0,0.09,37.7241009954704,126.751376383312
경기도 파주시 문산읍,92.0,46040.0,0.09,37.8565504951624,126.790957897268
인천광역시 연수구 송도5동,93.0,45981.0,0.09,37.4138925571557,126.623269960972
강원특별자치도 원주시 반곡관설동,94.0,45914.0,0.09,37.3297311773711,127.974308288136
인천광역시 미추홀구 용현5동,95.0,45884.0,0.09,37.4496903479039,126.640236878589
서울특별시 노원구 공릉2동,96.0,45809.0,0.09,37.6213085353563,127.083296516416
경기도 수원시 권선구 권선2동,97.0,45710.0,0.09,37.251330253058,127.029685120916
경기도 화성시 동탄5동,98.0,45474.0,0.09,37.2102438090657,127.104008280465
경상남도 창원시 진해구 웅동2동,99.0,45382.0,0.09,35.1012017875109,128.814806700491
경기도 하남시 미사2동,100.0,45274.0,0.09,37.5671786651798,127.186063454145
경기도 평택시 안중읍,101.0,45223.0,0.09,36.9861235830997,126.931167606861
경기도 성남시 수정구 위례동,102.0,45106.0,0.09,37.4682355771974,127.149572282405
경기도 포천시 소흘읍,103.0,44996.0,0.09,37.8233192010335,127.138600788633
경기도 의정부시 송산3동,104.0,44840.0,0.09,37.7529987995023,127.113691434001
경기도 안산시 상록구 해양동,105.0,44770.0,0.09,37.2947102348208,126.820045781644
경기도 수원시 장안구 율천동,106.0,44723.0,0.09,37.2976295878554,126.971401996357
경상남도 창원시 성산구 사파동,107.0,44710.0,0.09,35.2230111008933,128.699185890228
경기도 김포시 구래동,108.0,44702.0,0.09,37.646477085747,126.623680156555
경기도 의정부시 신곡2동,109.0,44588.0,0.09,37.7436585152018,127.057936865949
경상남도 양산시 동면,110.0,44260.0,0.09,35.3235198494618,129.061860910264
경기도 하남시 신장2동,111.0,44239.0,0.09,37.5417340210498,127.214016750036
인천광역시 남동구 논현고잔동,112.0,44096.0,0.09,37.3976877393359,126.726469984007
경기도 수원시 권선구 호매실동,113.0,44075.0,0.09,37.26624745857,126.95705992348
경상북도 경산시 진량읍,114.0,44028.0,0.09,35.8739232681792,128.816219686495
서울특별시 강남구 세곡동,115.0,44025.0,0.09,37.4644437055761,127.106760267266
제주특별자치도 제주시 연동,116.0,43976.0,0.08,33.4881587278278,126.496886364512
광주광역시 광산구 첨단2동,117.0,43941.0,0.08,35.2162837576693,126.843343053856
충청남도 천안시 동남구 신방동,118.0,43783.0,0.08,36.785913792776,127.122481782341
충청북도 청주시 상당구 용암2동,119.0,43615.0,0.08,36.6071769591588,127.508048625278
서울특별시 송파구 위례동,120.0,43569.0,0.08,37.4811482419831,127.144257010883
광주광역시 북구 용봉동,121.0,43567.0,0.08,35.1804348657735,126.901189342065
경기도 수원시 권선구 금곡동,122.0,43479.0,0.08,37.2727872043051,126.952320757237
경상남도 창원시 마산합포구 월영동,123.0,43387.0,0.08,35.1741600788586,128.558016561748
서울특별시 강동구 길동,124.0,43317.0,0.08,37.5344859624469,127.142712345548
전북특별자치도 전주시 완산구 평화2동,125.0,43311.0,0.08,35.7955471793762,127.135267244359
경상북도 경산시 동부동,126.0,43260.0,0.08,35.8193573718143,128.754220646487
경기도 평택시 중앙동,127.0,43076.0,0.08,37.0553368121143,127.055997310169
경상북도 포항시 북구 흥해읍,128.0,43013.0,0.08,36.107129772667,129.341721472306
경기도 시흥시 장곡동,129.0,42923.0,0.08,37.3774477193997,126.788194197371
전북특별자치도 전주시 완산구 효자4동,130.0,42864.0,0.08,35.8097939866582,127.089334206683
경기도 시흥시 정왕1동,131.0,42861.0,0.08,37.3402702220579,126.743867571554
경기도 안산시 단원구 호수동,132.0,42747.0,0.08,37.310301084212,126.824403501419
제주특별자치도 제주시 아라동,133.0,42535.0,0.08,33.476336452541,126.545269320542
서울특별시 은평구 역촌동,134.0,42490.0,0.08,37.6043976551679,126.915123289569
경상남도 창원시 의창구 북면,135.0,42454.0,0.08,35.3477803867698,128.607040985916
경기도 화성시 동탄6동,136.0,42448.0,0.08,37.191509631407,127.090228463882
울산광역시 북구 농소2동,137.0,42437.0,0.08,35.6383281965728,129.348370508625
강원특별자치도 원주시 단구동,138.0,42402.0,0.08,37.3260979360228,127.960253120692
경기도 시흥시 대야동,139.0,42331.0,0.08,37.4430460656539,126.788538285881
서울특별시 강서구 우장산동,140.0,42291.0,0.08,37.5481974467963,126.84179449484
경기도 군포시 군포2동,141.0,42047.0,0.08,37.3463436246301,126.943074040816
경기도 파주시 운정5동,142.0,41674.0,0.08,37.7202712243604,126.710801780994
부산광역시 남구 용호1동,143.0,41664.0,0.08,35.1207954771379,129.109033034713
경기도 용인시 기흥구 구갈동,144.0,41642.0,0.08,37.27242888979,127.127604033598
울산광역시 동구 방어동,145.0,41433.0,0.08,35.4862304417293,129.423974129487
