대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도
근린생활시설,전북특별자치도 전주시 완산구 경원동1가 40-5,전북특별자치도 전주시 완산구 풍남동,3745,26298,,0.13,35.818448,127.147183
근린생활시설,전북특별자치도 정읍시 수성동 524-17,전북특별자치도 정읍시 수성동,16490,42642,16,0.03,35.56967,126.851536
근린생활시설,전북특별자치도 전주시 덕진구 송천동2가 527,전북특별자치도 전주시 덕진구 송천1동,63864,29756,,0.01,35.864953,127.122081
근린생활시설,전북특별자치도 전주시 완산구 효자동1가 411-24,전북특별자치도 전주시 완산구 효자3동,14006,35443,,0.02,35.80578,127.111751
근린생활시설,전북특별자치도 군산시 중앙로1가 12-2,전북특별자치도 군산시 월명동,4490,16140,24,0.06,35.987109,126.711118
근린생활시설,제주특별자치도 제주시 건입동 940-15,제주특별자치도 제주시 건입동,9010,33186,31,0.02,33.517761,126.53413
근린생활시설,제주특별자치도 제주시 이도이동 1991-9,제주특별자치도 제주시 이도2동,48436,35338,32,0.03,33.491468,126.538335
근린생활시설,제주특별자치도 제주시 연동 2325-7,제주특별자치도 제주시 연동,43976,54135,133,0.03,33.4916,126.488549
근린생활시설,제주특별자치도 제주시 조천읍 함덕리 270-1,제주특별자치도 제주시 조천읍,24995,19080,67,0.03,33.542146,126.671597
근린생활시설,제주특별자치도 제주시 조천읍 신촌리 1615-2,제주특별자치도 제주시 조천읍,24995,29904,67,0.03,33.524814,126.620732
근린생활시설,충청남도 천안시 동남구 구룡동 564-27,충청남도 천안시 동남구 청룡동,58598,27379,,0.02,36.772784,127.139978
근린생활시설,충청남도 천안시 서북구 성정동 695-1,충청남도 천안시 서북구 성정1동,18124,54979,,0.02,36.818139,127.139655
근린생활시설,충청남도 천안시 동남구 원성동 442-1,충청남도 천안시 동남구 원성1동,8377,163427,,0.03,36.810732,127.164251
근린생활시설,충청남도 천안시 서북구 쌍용동 997,충청남도 천안시 서북구 쌍용1동,13139,54979,,0.03,36.805225,127.13196
근린생활시설,충청남도 서산시 예천동 696-7,충청남도 서산시 석남동,34694,15400,2,0.02,36.771746,126.440166
근린생활시설,충청북도 청주시 상당구 용암동 764,충청북도 청주시 상당구 용암1동,56962,22985,,0.02,36.612455,127.498275
근린생활시설,충청북도 청주시 서원구 현도면 선동리 284-7,충청북도 청주시 서원구 현도면,3427,18183,,0.05,36.486266,127.42989
근린생활시설,충청북도 청주시 흥덕구 봉명동 1405,충청북도 청주시 흥덕구 봉명2·송정동,24433,33926,,0.03,36.646359,127.464294
근린생활시설,충청북도 제천시 중앙로2가 68-3,충청북도 제천시 중앙동,5353,14090,36,0.1,37.143796,128.213148
근린생활시설,충청북도 청주시 서원구 죽림동 143-1,충청북도 청주시 서원구 성화·개신·죽림동,47463,38488,,0.01,36.607472,127.440662
공동주택,강원특별자치도 강릉시 교동 140-16,강원특별자치도 강릉시 교2동,7268,36978,71,0.03,37.762764,128.899727
공동주택,강원특별자치도 춘천시 퇴계동 369-9,강원특별자치도 춘천시 퇴계동,46293,9664,27,0.02,37.863193,127.729981
공동주택,강원특별자치도 양양군 서면 논화리 165,강원특별자치도 양양군 서면,2477,2120,24,0.04,38.053793,128.566924
공동주택,강원특별자치도 홍천군 홍천읍 연봉리 457-1,강원특별자치도 홍천군 홍천읍,32605,21962,41,0.03,37.685294,127.880739
공동주택,강원특별자치도 강릉시 교동 972-2,강원특별자치도 강릉시 교1동,25038,36978,17,0.02,37.758373,128.883092
공동주택,경기도 부천시 오정구 오정동 546-6,경기도 부천시 오정구 오정동,19518,187993,,0.02,37.529053,126.788178
공동주택,경기도 용인시 기흥구 신갈동 57-27,경기도 용인시 기흥구 신갈동,37250,239871,,0.01,37.273812,127.105124
공동주택,경기도 수원시 영통구 원천동 605,경기도 수원시 영통구 원천동,49289,81412,,0.02,37.271641,127.060519
공동주택,경기도 부천시 소사구 심곡본동 629-29,경기도 부천시 소사구 심곡본1동,18484,163046,,0.02,37.47639,126.776743
공동주택,경기도 양주시 덕계동 588-14,경기도 양주시 회천2동,34223,76500,6,0.01,37.822436,127.043624
공동주택,경상남도 진주시 충무공동 78-2,경상남도 진주시 충무공동,32946,69709,9,0.02,35.170453,128.131728
공동주택,경상남도 창원시 진해구 용원동 1347-1,경상남도 창원시 진해구 웅동2동,45382,31070,,0.02,35.090592,128.819628
공동주택,경상남도 창원시 진해구 용원동 1347,경상남도 창원시 진해구 웅동2동,45382,31070,,0.02,35.090445,128.818891
공동주택,경상남도 통영시 도남동 510-2,경상남도 통영시 봉평동,9363,9785,14,0.02,34.827604,128.416585
공동주택,경상남도 진주시 칠암동 507-10,경상남도 진주시 천전동,28921,77777,26,0.02,35.183915,128.090468
공동주택,경상북도 김천시 율곡동 798,경상북도 김천시 율곡동,22628,17661,5,0.02,36.115499,128.179195
공동주택,경상북도 경산시 사정동 3-16,경상북도 경산시 서부1동,33419,20197,8,0.02,35.822861,128.729233
공동주택,경상북도 경주시 황오동 43,경상북도 경주시 황오동,5937,25475,155,0.06,35.842588,129.227345
공동주택,경상북도 경주시 황성동 1067-10,경상북도 경주시 황성동,26785,25475,2,0.02,35.879508,129.224946
공동주택,경상북도 포항시 남구 연일읍 생지리 188,경상북도 포항시 남구 연일읍,28659,37969,,0.02,35.996719,129.347462
공동주택,광주광역시 북구 중흥동 599-28,광주광역시 북구 중흥동,15147,97671,2,0.02,35.166551,126.914726
공동주택,광주광역시 남구 방림동 447-15,광주광역시 남구 방림1동,6678,97671,3,0.01,35.131879,126.917308
공동주택,광주광역시 광산구 수완동 189,광주광역시 광산구 비아동,7778,63810,,0.08,35.202632,126.834439
공동주택,광주광역시 광산구 쌍암동 694-106,광주광역시 광산구 첨단2동,43941,63810,14,0.02,35.214087,126.851709
공동주택,광주광역시 서구 화정동 70-60,광주광역시 서구 화정1동,15641,134317,10,0.02,35.156477,126.878543
공동주택,대구광역시 수성구 만촌동 386-7,대구광역시 수성구 만촌1동,20922,27690,3,0.02,35.877137,128.647576
공동주택,대구광역시 중구 남산동 934-7,대구광역시 중구 남산2동,7099,135921,2,0.03,35.86476,128.592318
공동주택,대구광역시 서구 비산동 227-1,대구광역시 서구 비산4동,8910,156089,3,0.02,35.870642,128.574002
공동주택,대구광역시 달성군 가창면 우록리 10,대구광역시 달성군 가창면,7288,12940,8,0.02,35.727472,128.657667
공동주택,대구광역시 수성구 범어동 45-5,대구광역시 수성구 범어2동,14227,27690,,0.03,35.864982,128.627715
공동주택,대전광역시 동구 낭월동 190-1,대전광역시 동구 산내동,19742,46935,5,0.02,36.281822,127.467665
공동주택,대전광역시 서구 만년동 306,대전광역시 서구 만년동,12178,71595,,0.03,36.369477,127.381448
공동주택,대전광역시 서구 둔산동 939,대전광역시 서구 둔산2동,33962,71595,21,0.03,36.359461,127.380315
공동주택,대전광역시 서구 변동 252-77,대전광역시 서구 변동,14062,44361,1,0.03,36.3288,127.367725
공동주택,대전광역시 서구 둔산동 928,대전광역시 서구 둔산2동,33962,83786,21,0.03,36.358302,127.389675
공동주택,부산광역시 북구 구포동 1216-4,부산광역시 북구 구포3동,19679,74754,,0.01,35.2013,129.005415
공동주택,부산광역시 해운대구광역시 우동 760-3,부산광역시 해운대구광역시 우1동,21937,48622,,0.03,35.158798,129.153863
공동주택,부산광역시 부산진구 부전동 474-80,부산광역시 부산진구 부전1동,15192,74754,68,0.08,35.159439,129.055571
공동주택,부산광역시 남구 대연동 760-8,부산광역시 남구 대연4동,12743,48622,1,0.01,35.126327,129.094258
공동주택,부산광역시 수영구 민락동 181-88,부산광역시 수영구 민락동,27041,48622,129,0.02,35.15427,129.126092
공동주택,서울특별시 동작구 상도동 302-44,서울특별시 동작구 상도3동,23835,113301,1,0.01,37.494592,126.930354
공동주택,서울특별시 중랑구 상봉동 100,서울특별시 중랑구 상봉1동,22784,67898,,0.02,37.597044,127.086888
공동주택,서울특별시 강남구 역삼동 719-24,서울특별시 강남구 역삼2동,34689,203917,23,0.03,37.500858,127.040588
공동주택,서울특별시 마포구 서교동 494,서울특별시 마포구 서교동,25611,196415,24,0.1,37.550795,126.9168
공동주택,서울특별시 양천구 목동 917-9,서울특별시 양천구 목1동,28848,190133,1,0.03,37.528177,126.875813
공동주택,울산광역시 중구 동동 471-1,울산광역시 중구 병영2동,19514,30691,,0.01,35.573731,129.349033
공동주택,울산광역시 남구 삼산동 1612-2,울산광역시 남구 삼산동,47809,23213,97,0.05,35.539154,129.340046
공동주택,울산광역시 중구 동동 471-9,울산광역시 중구 병영2동,19514,30691,,0.01,35.572724,129.349139
공동주택,울산광역시 중구 성안동 393-2,울산광역시 중구 성안동,20264,6121,,0.02,35.575797,129.316153
공동주택,울산광역시 중구 남외동 325-7,울산광역시 중구 병영1동,20501,6121,4,0.02,35.569853,129.344449
공동주택,인천광역시 미추홀구 주안동 422-45,인천광역시 미추홀구 주안4동,17551,110764,3,0.02,37.455928,126.682988
공동주택,인천광역시 연수구 송도동 30-6,인천광역시 연수구 송도4동,29428,60971,3,0.02,37.396993,126.631325
공동주택,인천광역시 미추홀구 주안동 57-18,인천광역시 미추홀구 주안6동,21792,110764,27,0.02,37.461156,126.686952
공동주택,인천광역시 서구 왕길동 661-15,인천광역시 서구 오류왕길동,26690,75388,7,0.04,37.598994,126.658301
공동주택,인천광역시 계양구 계산동 1062,인천광역시 계양구 계산4동,22408,163653,5,0.04,37.5386,126.736107
공동주택,전라남도 장성군 장성읍 영천리 973-18,전라남도 장성군 장성읍,12715,31694,14,0.03,35.29889,126.785019
공동주택,전라남도 무안군 삼향읍 남악리 1476,전라남도 무안군 삼향읍,38936,29336,11,0.02,34.814018,126.467776
공동주택,전라남도 장성군 북이면 사거리 685-9,전라남도 장성군 북이면,2561,7204,2,0.03,35.427049,126.808775
공동주택,전라남도 강진군 성전면 월평리 430-18,전라남도 강진군 성전면,2578,12338,2,0.04,34.689307,126.704181
공동주택,전라남도 나주시 빛가람동 334,전라남도 나주시 빛가람동,38238,57752,13,0.02,35.015092,126.78369
공동주택,전북특별자치도 부안군 부안읍 봉덕리 570-21,전북특별자치도 부안군 부안읍,19891,5644,29,0.03,35.721858,126.739604
공동주택,전북특별자치도 남원시 동충동 412-1,전북특별자치도 남원시 동충동,2983,6707,11,0.03,35.412334,127.378847
공동주택,전북특별자치도 전주시 덕진구 덕진동1가 1279-15,전북특별자치도 전주시 덕진구 덕진동,25042,29756,,0.02,35.84458,127.123295
공동주택,전북특별자치도 전주시 완산구 효자동3가 1544-3,전북특별자치도 전주시 완산구 효자5동,36380,35443,,0.03,35.814247,127.110826
공동주택,전북특별자치도 익산시 신동 735-21,전북특별자치도 익산시 신동,23893,4615,,0.02,35.958382,126.956483
공동주택,제주특별자치도 제주시 연동 261-23,제주특별자치도 제주시 연동,43976,54135,133,0.03,33.489614,126.488677
공동주택,제주특별자치도 제주시 한림읍 한림리 1526-7,제주특별자치도 제주시 한림읍,22389,7066,66,0.04,33.409606,126.261169
공동주택,제주특별자치도 제주시 애월읍 광령리 43,제주특별자치도 제주시 애월읍,37245,11151,197,0.03,33.462381,126.44505
공동주택,제주특별자치도 제주시 연동 263-2,제주특별자치도 제주시 연동,43976,54135,133,0.03,33.485697,126.489452
공동주택,제주특별자치도 제주시 연동 565,제주특별자치도 제주시 연동,43976,54135,133,0.03,33.477775,126.495516
공동주택,충청남도 천안시 서북구 성거읍 천흥리 494-9,충청남도 천안시 서북구 성거읍,21806,25639,,0.02,36.86974,127.201562
공동주택,충청남도 천안시 서북구 불당동 1483,충청남도 천안시 서북구 불당2동,36091,54979,,0.02,36.820051,127.110392
공동주택,충청남도 아산시 탕정면 용두리 730,충청남도 아산시 탕정면,47364,26464,1,0.01,36.794684,127.048722
공동주택,충청남도 당진시 신평면 도성리 209-2,충청남도 당진시 신평면,15418,20385,14,0.03,36.882284,126.806771
공동주택,충청남도 아산시 배방읍 장재리 1352-17,충청남도 아산시 배방읍,86956,71113,10,0.01,36.788715,127.096548
공동주택,충청북도 음성군 생극면 신양리 623-1,충청북도 음성군 생극면,5337,3544,3,0.03,37.046059,127.603799
공동주택,충청북도 충주시 대소원면 검단리 350-121,충청북도 충주시 대소원면,12817,34801,10,0.02,36.96503,127.87059
공동주택,충청북도 청주시 흥덕구 오송읍 쌍청리 108-37,충청북도 청주시 흥덕구 오송읍,31129,42283,,0.02,36.641115,127.346792
공동주택,충청북도 음성군 맹동면 두성리 1463,충청북도 음성군 맹동면,13860,1999,,0.03,36.906126,127.546433
공동주택,충청북도 청주시 흥덕구 오송읍 만수리 863,충청북도 청주시 흥덕구 오송읍,31129,25087,,0.02,36.622202,127.327417
자동차관련시설,강원특별자치도 원주시 판부면 서곡리 517,강원특별자치도 원주시 판부면,7096,17545,8,0.05,37.316604,127.938476
자동차관련시설,강원특별자치도 원주시 호저면 만종리 324-4,강원특별자치도 원주시 호저면,3346,47596,4,0.06,37.361854,127.915743
자동차관련시설,강원특별자치도 원주시 무실동 643-7,강원특별자치도 원주시 무실동,34464,47596,9,0.02,37.331058,127.923809
자동차관련시설,강원특별자치도 춘천시 동면 장학리 786-80,강원특별자치도 춘천시 동면,19631,18836,6,0.03,37.903375,127.752414
자동차관련시설,강원특별자치도 원주시 행구동 1775-3,강원특별자치도 원주시 행구동,8605,19092,11,0.02,37.344816,127.976868
자동차관련시설,경기도 화성시 장지동 812,경기도 화성시 동탄8동,32862,41037,,0.01,37.152762,127.123617
자동차관련시설,경기도 화성시 오산동 458-1,경기도 화성시 동탄6동,42448,186262,3,0.02,','
자동차관련시설,경기도 화성시 기산동 23-1,경기도 화성시 진안동,51009,30954,4,0.02,37.218102,127.055076
자동차관련시설,경기도 수원시 영통구 매탄동 405-1,경기도 수원시 영통구 매탄3동,34738,30954,,0.02,37.259451,127.060408
